source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[mass]	characteristics[biological replicate]	characteristics[depletion]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD017834-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	12.5 ug	1	depletion	run 1	proteomic profiling by mass spectrometer	12122019_Fusion_1055_VK_180min_iTRAQ1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017834/12122019_Fusion_1055_VK_180min_iTRAQ1.raw	1	ITRAQ114	1	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion;AC=MS:1002416	NT=iTRAQ4plex;TA=K;MT=Variable;AC=UNIMOD:214	NT=iTRAQ4plex;PP=Any N-term;MT=Variable;AC=UNIMOD:214	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	0.05 Da	Blood Plasma
PXD017834-Sample-2	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	25 ug	1	depletion	run 1	proteomic profiling by mass spectrometer	12122019_Fusion_1055_VK_180min_iTRAQ1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017834/12122019_Fusion_1055_VK_180min_iTRAQ1.raw	1	ITRAQ115	1	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion;AC=MS:1002416	NT=iTRAQ4plex;TA=K;MT=Variable;AC=UNIMOD:214	NT=iTRAQ4plex;PP=Any N-term;MT=Variable;AC=UNIMOD:214	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	0.05 Da	Blood Plasma
PXD017834-Sample-3	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	50 ug	1	depletion	run 1	proteomic profiling by mass spectrometer	12122019_Fusion_1055_VK_180min_iTRAQ1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017834/12122019_Fusion_1055_VK_180min_iTRAQ1.raw	1	ITRAQ116	1	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion;AC=MS:1002416	NT=iTRAQ4plex;TA=K;MT=Variable;AC=UNIMOD:214	NT=iTRAQ4plex;PP=Any N-term;MT=Variable;AC=UNIMOD:214	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	0.05 Da	Blood Plasma
PXD017834-Sample-4	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	100 ug	1	depletion	run 1	proteomic profiling by mass spectrometer	12122019_Fusion_1055_VK_180min_iTRAQ1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017834/12122019_Fusion_1055_VK_180min_iTRAQ1.raw	1	ITRAQ117	1	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion;AC=MS:1002416	NT=iTRAQ4plex;TA=K;MT=Variable;AC=UNIMOD:214	NT=iTRAQ4plex;PP=Any N-term;MT=Variable;AC=UNIMOD:214	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	0.05 Da	Blood Plasma
PXD017834-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	12.5 ug	1	depletion	run 2	proteomic profiling by mass spectrometer	12122019_Fusion_1055_VK_180min_iTRAQ2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017834/12122019_Fusion_1055_VK_180min_iTRAQ2.raw	1	ITRAQ114	2	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion;AC=MS:1002416	NT=iTRAQ4plex;TA=K;MT=Variable;AC=UNIMOD:214	NT=iTRAQ4plex;PP=Any N-term;MT=Variable;AC=UNIMOD:214	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	0.05 Da	Blood Plasma
PXD017834-Sample-2	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	25 ug	1	depletion	run 2	proteomic profiling by mass spectrometer	12122019_Fusion_1055_VK_180min_iTRAQ2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017834/12122019_Fusion_1055_VK_180min_iTRAQ2.raw	1	ITRAQ115	2	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion;AC=MS:1002416	NT=iTRAQ4plex;TA=K;MT=Variable;AC=UNIMOD:214	NT=iTRAQ4plex;PP=Any N-term;MT=Variable;AC=UNIMOD:214	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	0.05 Da	Blood Plasma
PXD017834-Sample-3	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	50 ug	1	depletion	run 2	proteomic profiling by mass spectrometer	12122019_Fusion_1055_VK_180min_iTRAQ2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017834/12122019_Fusion_1055_VK_180min_iTRAQ2.raw	1	ITRAQ116	2	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion;AC=MS:1002416	NT=iTRAQ4plex;TA=K;MT=Variable;AC=UNIMOD:214	NT=iTRAQ4plex;PP=Any N-term;MT=Variable;AC=UNIMOD:214	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	0.05 Da	Blood Plasma
PXD017834-Sample-4	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	100 ug	1	depletion	run 2	proteomic profiling by mass spectrometer	12122019_Fusion_1055_VK_180min_iTRAQ2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017834/12122019_Fusion_1055_VK_180min_iTRAQ2.raw	1	ITRAQ117	2	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion;AC=MS:1002416	NT=iTRAQ4plex;TA=K;MT=Variable;AC=UNIMOD:214	NT=iTRAQ4plex;PP=Any N-term;MT=Variable;AC=UNIMOD:214	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	0.05 Da	Blood Plasma
PXD017834-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	12.5 ug	1	depletion	run 3	proteomic profiling by mass spectrometer	12122019_Fusion_1055_VK_180min_iTRAQ3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017834/12122019_Fusion_1055_VK_180min_iTRAQ3.raw	1	ITRAQ114	3	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion;AC=MS:1002416	NT=iTRAQ4plex;TA=K;MT=Variable;AC=UNIMOD:214	NT=iTRAQ4plex;PP=Any N-term;MT=Variable;AC=UNIMOD:214	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	0.05 Da	Blood Plasma
PXD017834-Sample-2	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	25 ug	1	depletion	run 3	proteomic profiling by mass spectrometer	12122019_Fusion_1055_VK_180min_iTRAQ3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017834/12122019_Fusion_1055_VK_180min_iTRAQ3.raw	1	ITRAQ115	3	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion;AC=MS:1002416	NT=iTRAQ4plex;TA=K;MT=Variable;AC=UNIMOD:214	NT=iTRAQ4plex;PP=Any N-term;MT=Variable;AC=UNIMOD:214	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	0.05 Da	Blood Plasma
