source name	characteristics[organism]	characteristics[organism part]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[depletion]	comment[biological replicate]	characteristics[sampling time]	assay name	Technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[MS2 mass analyzer]	comment[instrument]	comment[separation]	comment[modification parameter]	comment[modification parameter]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	value[organism part]
PXD017976-Sample-1	Homo sapiens	blood serum	1	megakariocite	not available	not available	not available	not available	normal	no depletion	1	not applicable	20180807_Q1_AWH_ColID_654_ProjID_1327_RolfesBonn_sample_1	proteomic profiling by mass spectrometry	20180807_Q1_AWH_ColID_654_ProjID_1327_RolfesBonn_sample_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD017976/20180807_Q1_AWH_ColID_654_ProjID_1327_RolfesBonn_sample_1.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634 NT=Q Exactive Plus	no available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	no available	no available	20 ppm	20 ppm	blood serum
PXD017976-Sample-2	Homo sapiens	blood serum	1	megakariocite	not available	not available	not available	not available	LPS	no depletion	1	not applicable	20180807_Q1_AWH_ColID_654_ProjID_1327_RolfesBonn_sample_2	proteomic profiling by mass spectrometry	20180807_Q1_AWH_ColID_654_ProjID_1327_RolfesBonn_sample_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD017976/20180807_Q1_AWH_ColID_654_ProjID_1327_RolfesBonn_sample_2.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634 NT=Q Exactive Plus	no available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	no available	no available	20 ppm	20 ppm	blood serum
PXD017976-Sample-3	Homo sapiens	blood serum	2	megakariocite	not available	not available	not available	not available	normal	no depletion	1	not applicable	20180807_Q1_AWH_ColID_654_ProjID_1327_RolfesBonn_sample_3	proteomic profiling by mass spectrometry	20180807_Q1_AWH_ColID_654_ProjID_1327_RolfesBonn_sample_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD017976/20180807_Q1_AWH_ColID_654_ProjID_1327_RolfesBonn_sample_3.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634 NT=Q Exactive Plus	no available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	no available	no available	20 ppm	20 ppm	blood serum
PXD017976-Sample-4	Homo sapiens	blood serum	2	megakariocite	not available	not available	not available	not available	LPS	no depletion	1	not applicable	20180807_Q1_AWH_ColID_654_ProjID_1327_RolfesBonn_sample_4	proteomic profiling by mass spectrometry	20180807_Q1_AWH_ColID_654_ProjID_1327_RolfesBonn_sample_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD017976/20180807_Q1_AWH_ColID_654_ProjID_1327_RolfesBonn_sample_4.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634 NT=Q Exactive Plus	no available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	no available	no available	20 ppm	20 ppm	blood serum
PXD017976-Sample-5	Homo sapiens	blood serum	3	megakariocite	not available	not available	not available	not available	normal	no depletion	1	not applicable	20180807_Q1_AWH_ColID_654_ProjID_1327_RolfesBonn_sample_5	proteomic profiling by mass spectrometry	20180807_Q1_AWH_ColID_654_ProjID_1327_RolfesBonn_sample_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD017976/20180807_Q1_AWH_ColID_654_ProjID_1327_RolfesBonn_sample_5.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634 NT=Q Exactive Plus	no available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	no available	no available	20 ppm	20 ppm	blood serum
PXD017976-Sample-6	Homo sapiens	blood serum	3	megakariocite	not available	not available	not available	not available	LPS	no depletion	1	not applicable	20180807_Q1_AWH_ColID_654_ProjID_1327_RolfesBonn_sample_6	proteomic profiling by mass spectrometry	20180807_Q1_AWH_ColID_654_ProjID_1327_RolfesBonn_sample_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD017976/20180807_Q1_AWH_ColID_654_ProjID_1327_RolfesBonn_sample_6.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634 NT=Q Exactive Plus	no available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	no available	no available	20 ppm	20 ppm	blood serum
PXD017976-Sample-7	Homo sapiens	blood serum	4	platelet	not available	not available	not available	not available	normal	no depletion	1	not applicable	20180807_Q1_AWH_ColID_654_ProjID_1327_RolfesBonn_sample_7	proteomic profiling by mass spectrometry	20180807_Q1_AWH_ColID_654_ProjID_1327_RolfesBonn_sample_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD017976/20180807_Q1_AWH_ColID_654_ProjID_1327_RolfesBonn_sample_7.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634 NT=Q Exactive Plus	no available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	no available	no available	20 ppm	20 ppm	blood serum
PXD017976-Sample-8	Homo sapiens	blood serum	4	platelet	not available	not available	not available	not available	LPS	no depletion	1	not applicable	20180807_Q1_AWH_ColID_654_ProjID_1327_RolfesBonn_sample_8	proteomic profiling by mass spectrometry	20180807_Q1_AWH_ColID_654_ProjID_1327_RolfesBonn_sample_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD017976/20180807_Q1_AWH_ColID_654_ProjID_1327_RolfesBonn_sample_8.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634 NT=Q Exactive Plus	no available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	no available	no available	20 ppm	20 ppm	blood serum
PXD017976-Sample-9	Homo sapiens	blood serum	5	platelet	not available	not available	not available	not available	normal	no depletion	1	not applicable	20180807_Q1_AWH_ColID_654_ProjID_1327_RolfesBonn_sample_9	proteomic profiling by mass spectrometry	20180807_Q1_AWH_ColID_654_ProjID_1327_RolfesBonn_sample_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD017976/20180807_Q1_AWH_ColID_654_ProjID_1327_RolfesBonn_sample_9.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634 NT=Q Exactive Plus	no available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	no available	no available	20 ppm	20 ppm	blood serum
PXD017976-Sample-10	Homo sapiens	blood serum	5	platelet	not available	not available	not available	not available	LPS	no depletion	1	not applicable	20180807_Q1_AWH_ColID_654_ProjID_1327_RolfesBonn_sample_10	proteomic profiling by mass spectrometry	20180807_Q1_AWH_ColID_654_ProjID_1327_RolfesBonn_sample_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD017976/20180807_Q1_AWH_ColID_654_ProjID_1327_RolfesBonn_sample_10.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634 NT=Q Exactive Plus	no available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	no available	no available	20 ppm	20 ppm	blood serum
