source name	characteristics[organism]	characteristics[organism part]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[depletion]	characteristics[biological replicate]	characteristics[sampling time]	assay name	Technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[MS2 mass analyzer]	comment[instrument]	comment[modification parameter]	comment[modification parameter]	comment[modification parameter]	comment[dissociation method]	comment[proteomics data acquisition method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD037340-Sample-1	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	non depleted	1	not applicable	20220508_EXPL2_Evo7_OOE_DIA21min_InS_R_01_5uL_a_002	proteomic profiling by mass spectrometer	20220508_EXPL2_Evo7_OOE_DIA21min_InS_R_01_5uL_a_002.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220508_EXPL2_Evo7_OOE_DIA21min_InS_R_01_5uL_a_002	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	MS:1003094; NT=Orbitrap Exploris 240	MS:1003094; NT=Orbitrap Exploris 240	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	NT=Data-Independent Acquisition;AC=PRIDE:0000450	27 NCE	20 ppm	0.02 Da	blood plasma
PXD037340-Sample-1	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	non depleted	1	not applicable	20220508_EXPL2_Evo7_OOE_DIA21min_InS_R_01_5uL_b_012	proteomic profiling by mass spectrometer	20220508_EXPL2_Evo7_OOE_DIA21min_InS_R_01_5uL_b_012.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220508_EXPL2_Evo7_OOE_DIA21min_InS_R_01_5uL_b_012	1	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251	MS:1003094; NT=Orbitrap Exploris 240	MS:1003094; NT=Orbitrap Exploris 240	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	NT=Data-Independent Acquisition;AC=PRIDE:0000450	27 NCE	20 ppm	0.02 Da	blood plasma
PXD037340-Sample-1	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	non depleted	1	not applicable	20220508_EXPL2_Evo7_OOE_DIA21min_InS_R_01_5uL_c_022	proteomic profiling by mass spectrometer	20220508_EXPL2_Evo7_OOE_DIA21min_InS_R_01_5uL_c_022.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220508_EXPL2_Evo7_OOE_DIA21min_InS_R_01_5uL_c_022	1	AC=MS:1002038;NT=label free sample	3	NT=Trypsin; AC=MS:1001251	MS:1003094; NT=Orbitrap Exploris 240	MS:1003094; NT=Orbitrap Exploris 240	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	NT=Data-Independent Acquisition;AC=PRIDE:0000450	27 NCE	20 ppm	0.02 Da	blood plasma
PXD037340-Sample-2	Homo sapiens	blood plasma	2	not applicable	not available	not available	not available	not available	Normal	non depleted	2	not applicable	20220508_EXPL2_Evo7_OOE_DIA21min_InS_R_02_5uL_a_005	proteomic profiling by mass spectrometer	20220508_EXPL2_Evo7_OOE_DIA21min_InS_R_02_5uL_a_005.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220508_EXPL2_Evo7_OOE_DIA21min_InS_R_02_5uL_a_005	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	MS:1003094; NT=Orbitrap Exploris 240	MS:1003094; NT=Orbitrap Exploris 240	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	NT=Data-Independent Acquisition;AC=PRIDE:0000450	27 NCE	20 ppm	0.02 Da	blood plasma
PXD037340-Sample-2	Homo sapiens	blood plasma	2	not applicable	not available	not available	not available	not available	Normal	non depleted	2	not applicable	20220508_EXPL2_Evo7_OOE_DIA21min_InS_R_02_5uL_b_015	proteomic profiling by mass spectrometer	20220508_EXPL2_Evo7_OOE_DIA21min_InS_R_02_5uL_b_015.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220508_EXPL2_Evo7_OOE_DIA21min_InS_R_02_5uL_b_015	1	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251	MS:1003094; NT=Orbitrap Exploris 240	MS:1003094; NT=Orbitrap Exploris 240	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	NT=Data-Independent Acquisition;AC=PRIDE:0000450	27 NCE	20 ppm	0.02 Da	blood plasma
PXD037340-Sample-2	Homo sapiens	blood plasma	2	not applicable	not available	not available	not available	not available	Normal	non depleted	2	not applicable	20220508_EXPL2_Evo7_OOE_DIA21min_InS_R_02_5uL_c_025	proteomic profiling by mass spectrometer	20220508_EXPL2_Evo7_OOE_DIA21min_InS_R_02_5uL_c_025.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220508_EXPL2_Evo7_OOE_DIA21min_InS_R_02_5uL_c_025	1	AC=MS:1002038;NT=label free sample	3	NT=Trypsin; AC=MS:1001251	MS:1003094; NT=Orbitrap Exploris 240	MS:1003094; NT=Orbitrap Exploris 240	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	NT=Data-Independent Acquisition;AC=PRIDE:0000450	27 NCE	20 ppm	0.02 Da	blood plasma
PXD037340-Sample-3	Homo sapiens	blood plasma	3	not applicable	not available	not available	not available	not available	Normal	non depleted	3	not applicable	20220508_EXPL2_Evo7_OOE_DIA21min_InS_R_03_5uL_a_008	proteomic profiling by mass spectrometer	20220508_EXPL2_Evo7_OOE_DIA21min_InS_R_03_5uL_a_008.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220508_EXPL2_Evo7_OOE_DIA21min_InS_R_03_5uL_a_008	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	MS:1003094; NT=Orbitrap Exploris 240	MS:1003094; NT=Orbitrap Exploris 240	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	NT=Data-Independent Acquisition;AC=PRIDE:0000450	27 NCE	20 ppm	0.02 Da	blood plasma
PXD037340-Sample-3	Homo sapiens	blood plasma	3	not applicable	not available	not available	not available	not available	Normal	non depleted	3	not applicable	20220508_EXPL2_Evo7_OOE_DIA21min_InS_R_03_5uL_b_018	proteomic profiling by mass spectrometer	20220508_EXPL2_Evo7_OOE_DIA21min_InS_R_03_5uL_b_018.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220508_EXPL2_Evo7_OOE_DIA21min_InS_R_03_5uL_b_018	1	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251	MS:1003094; NT=Orbitrap Exploris 240	MS:1003094; NT=Orbitrap Exploris 240	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	NT=Data-Independent Acquisition;AC=PRIDE:0000450	27 NCE	20 ppm	0.02 Da	blood plasma
PXD037340-Sample-3	Homo sapiens	blood plasma	3	not applicable	not available	not available	not available	not available	Normal	non depleted	3	not applicable	20220508_EXPL2_Evo7_OOE_DIA21min_InS_R_03_5uL_c_028	proteomic profiling by mass spectrometer	20220508_EXPL2_Evo7_OOE_DIA21min_InS_R_03_5uL_c_028.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220508_EXPL2_Evo7_OOE_DIA21min_InS_R_03_5uL_c_028	1	AC=MS:1002038;NT=label free sample	3	NT=Trypsin; AC=MS:1001251	MS:1003094; NT=Orbitrap Exploris 240	MS:1003094; NT=Orbitrap Exploris 240	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	NT=Data-Independent Acquisition;AC=PRIDE:0000450	27 NCE	20 ppm	0.02 Da	blood plasma
PXD037340-Sample-4	Homo sapiens	blood plasma	4	not applicable	not available	not available	not available	not available	Normal	non depleted	4	not applicable	20220507_EXPL2_Evo7_OOE_DIA21min_InS_M_01_0500uL_a_004	proteomic profiling by mass spectrometer	20220507_EXPL2_Evo7_OOE_DIA21min_InS_M_01_0500uL_a_004.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220507_EXPL2_Evo7_OOE_DIA21min_InS_M_01_0500uL_a_004	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	MS:1003094; NT=Orbitrap Exploris 240	MS:1003094; NT=Orbitrap Exploris 240	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	NT=Data-Independent Acquisition;AC=PRIDE:0000450	27 NCE	20 ppm	0.02 Da	blood plasma
