source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[biological replicate]	characteristics[batch]	characteristics[Batch.Injection]	characteristics[Sample.Type]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[proteomics data acquisition method]	comment[fraction identifier]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[MS1 scan range]	factor value[organism part]
PXD039023-Sample 1	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	1	biological	run 1	proteomic profiling by mass spectrometry	1_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/1_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 2	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	2	biological	run 2	proteomic profiling by mass spectrometry	2_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/2_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 3	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	3	biological	run 3	proteomic profiling by mass spectrometry	3_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/3_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 4	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	4	biological	run 4	proteomic profiling by mass spectrometry	4_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/4_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 5	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	5	biological	run 5	proteomic profiling by mass spectrometry	5_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/5_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 6	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	6	biological	run 6	proteomic profiling by mass spectrometry	6_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/6_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 7	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	7	biological	run 7	proteomic profiling by mass spectrometry	7_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/7_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 8	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	8	biological	run 8	proteomic profiling by mass spectrometry	8_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/8_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 9	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	9	biological	run 9	proteomic profiling by mass spectrometry	9_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/9_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 10	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	10	biological	run 10	proteomic profiling by mass spectrometry	10_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/10_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
