source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD026178-Sample-1	Homo sapiens	blood	NT=platelet;AC=CL:0000233	not available	not available	not available	not available	normal	not available	1	run 1	proteomic profiling by mass spectrometer	LCA_RM_20191005_Platelets_F1AB_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026178/LCA_RM_20191005_Platelets_F1AB_01.raw	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	23 NCE	not available	not available	NT=platelet;AC=CL:0000233
PXD026178-Sample-2	Homo sapiens	blood	NT=platelet;AC=CL:0000233	not available	not available	not available	not available	normal	not available	1	run 2	proteomic profiling by mass spectrometer	LCA_RM_20191005_Platelets_F1AB_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026178/LCA_RM_20191005_Platelets_F1AB_02.raw	1	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	23 NCE	not available	not available	NT=platelet;AC=CL:0000233
PXD026178-Sample-3	Homo sapiens	blood	NT=platelet;AC=CL:0000233	not available	not available	not available	not available	normal	not available	1	run 3	proteomic profiling by mass spectrometer	LCA_RM_20191005_Platelets_F2AB_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026178/LCA_RM_20191005_Platelets_F2AB_01.raw	2	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	23 NCE	not available	not available	NT=platelet;AC=CL:0000233
PXD026178-Sample-4	Homo sapiens	blood	NT=platelet;AC=CL:0000233	not available	not available	not available	not available	normal	not available	1	run 4	proteomic profiling by mass spectrometer	LCA_RM_20191005_Platelets_F2AB_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026178/LCA_RM_20191005_Platelets_F2AB_02.raw	2	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	23 NCE	not available	not available	NT=platelet;AC=CL:0000233
PXD026178-Sample-5	Homo sapiens	blood	NT=platelet;AC=CL:0000233	not available	not available	not available	not available	normal	not available	1	run 5	proteomic profiling by mass spectrometer	LCA_RM_20191005_Platelets_F3AB_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026178/LCA_RM_20191005_Platelets_F3AB_01.raw	3	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	23 NCE	not available	not available	NT=platelet;AC=CL:0000233
PXD026178-Sample-6	Homo sapiens	blood	NT=platelet;AC=CL:0000233	not available	not available	not available	not available	normal	not available	1	run 6	proteomic profiling by mass spectrometer	LCA_RM_20191005_Platelets_F3AB_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026178/LCA_RM_20191005_Platelets_F3AB_02.raw	3	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	23 NCE	not available	not available	NT=platelet;AC=CL:0000233
PXD026178-Sample-7	Homo sapiens	blood	NT=platelet;AC=CL:0000233	not available	not available	not available	not available	normal	not available	1	run 7	proteomic profiling by mass spectrometer	LCA_RM_20191005_Platelets_F4AB_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026178/LCA_RM_20191005_Platelets_F4AB_01.raw	4	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	23 NCE	not available	not available	NT=platelet;AC=CL:0000233
PXD026178-Sample-8	Homo sapiens	blood	NT=platelet;AC=CL:0000233	not available	not available	not available	not available	normal	not available	1	run 8	proteomic profiling by mass spectrometer	LCA_RM_20191005_Platelets_F4AB_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026178/LCA_RM_20191005_Platelets_F4AB_02.raw	4	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	23 NCE	not available	not available	NT=platelet;AC=CL:0000233
PXD026178-Sample-9	Homo sapiens	blood	NT=platelet;AC=CL:0000233	not available	not available	not available	not available	normal	not available	1	run 9	proteomic profiling by mass spectrometer	LCA_RM_20191006_Platelets_F5AB_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026178/LCA_RM_20191006_Platelets_F5AB_01.raw	5	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	23 NCE	not available	not available	NT=platelet;AC=CL:0000233
PXD026178-Sample-10	Homo sapiens	blood	NT=platelet;AC=CL:0000233	not available	not available	not available	not available	normal	not available	1	run 10	proteomic profiling by mass spectrometer	LCA_RM_20191006_Platelets_F5AB_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026178/LCA_RM_20191006_Platelets_F5AB_02.raw	5	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	23 NCE	not available	not available	NT=platelet;AC=CL:0000233
