source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[sampling time]	characteristics[individual]	characteristics[anticoagulant]	characteristics[biological replicate]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD030225-Sample-1	Homo Sapiens	platelet	platelet	not available	30Y-40Y	not available	not available	normal	1h	donor 1	NaCit+ACD	1	run 1	proteomic profiling by mass spectrometer	HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD030225/HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT.raw	1	TMT126	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	40 ppm	0.5 Da	platelet
PXD030225-Sample-2	Homo Sapiens	platelet	platelet	not available	30Y-40Y	not available	not available	normal	1h	donor 1	NaCit+ACD	2	run 2	proteomic profiling by mass spectrometer	HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD030225/HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT.raw	1	TMT127N	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	40 ppm	0.5 Da	platelet
PXD030225-Sample-3	Homo Sapiens	platelet	platelet	not available	30Y-40Y	not available	not available	normal	1h	donor 1	NaCit+ACD	3	run 3	proteomic profiling by mass spectrometer	HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD030225/HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT.raw	1	TMT127C	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	40 ppm	0.5 Da	platelet
PXD030225-Sample-4	Homo Sapiens	platelet	platelet	not available	30Y-40Y	not available	not available	normal	1h	donor 2	EDTA	4	run 4	proteomic profiling by mass spectrometer	HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD030225/HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT.raw	1	TMT128N	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	40 ppm	0.5 Da	platelet
PXD030225-Sample-5	Homo Sapiens	platelet	platelet	not available	30Y-40Y	not available	not available	normal	1h	donor 2	EDTA	5	run 5	proteomic profiling by mass spectrometer	HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD030225/HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT.raw	1	TMT128C	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	40 ppm	0.5 Da	platelet
PXD030225-Sample-6	Homo Sapiens	platelet	platelet	not available	30Y-40Y	not available	not available	normal	1h	donor 2	EDTA	6	run 6	proteomic profiling by mass spectrometer	HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD030225/HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT.raw	1	TMT129N	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	40 ppm	0.5 Da	platelet
PXD030225-Sample-7	Homo Sapiens	platelet	platelet	not available	30Y-40Y	not available	not available	normal	1h	donor 3	Heparin	7	run 7	proteomic profiling by mass spectrometer	HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD030225/HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT.raw	1	TMT129C	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	40 ppm	0.5 Da	platelet
PXD030225-Sample-8	Homo Sapiens	platelet	platelet	not available	30Y-40Y	not available	not available	normal	1h	donor 3	Heparin	8	run 8	proteomic profiling by mass spectrometer	HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD030225/HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT.raw	1	TMT130C	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	40 ppm	0.5 Da	platelet
PXD030225-Sample-9	Homo Sapiens	platelet	platelet	not available	30Y-40Y	not available	not available	normal	1h	donor 3	Heparin	9	run 9	proteomic profiling by mass spectrometer	HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD030225/HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT.raw	1	TMT130N	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	40 ppm	0.5 Da	platelet
PXD030225-Sample-10	Homo Sapiens	platelet	platelet	not available	30Y-40Y	not available	not available	normal	1h	pool	no applicable	10	run 10	proteomic profiling by mass spectrometer	HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD030225/HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT.raw	1	TMT131C	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	40 ppm	0.5 Da	platelet
