source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[equalization]	characteristics[origin]	characteristics[individual]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[biological replicate]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fractionation method]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD026125-Sample 1	Homo Sapiens	Blood	PBMC	whole cell	purchased from SCD	1	not available	not available	not available	not available	normal	1	run 1	proteomic profiling by mass spectrometer	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_01_10-55_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_01_10-55_a.raw	AC=PRIDE:0000565;NT=High-performance liquid chromatography	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026125-Sample 2	Homo Sapiens	Blood	PBMC	whole cell	purchased from SCD	1	not available	not available	not available	not available	normal	1	run 2	proteomic profiling by mass spectrometer	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_01_15-45_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_01_15-45_a.raw	AC=PRIDE:0000565;NT=High-performance liquid chromatography	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000628	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026125-Sample 3	Homo Sapiens	Blood	PBMC	whole cell	purchased from SCD	1	not available	not available	not available	not available	normal	1	run 3	proteomic profiling by mass spectrometer	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_01_15-45_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_01_15-45_b.raw	AC=PRIDE:0000565;NT=High-performance liquid chromatography	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000629	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026125-Sample 4	Homo Sapiens	Blood	PBMC	whole cell	purchased from SCD	1	not available	not available	not available	not available	normal	1	run 4	proteomic profiling by mass spectrometer	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_01_15-45_c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_01_15-45_c.raw	AC=PRIDE:0000565;NT=High-performance liquid chromatography	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000630	AC=MS:1002038;NT=label free sample	4	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026125-Sample 5	Homo Sapiens	Blood	PBMC	whole cell	purchased from SCD	1	not available	not available	not available	not available	normal	1	run 5	proteomic profiling by mass spectrometer	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_01_20-40_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_01_20-40_a.raw	AC=PRIDE:0000565;NT=High-performance liquid chromatography	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000631	AC=MS:1002038;NT=label free sample	5	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026125-Sample 6	Homo Sapiens	Blood	PBMC	whole cell	purchased from SCD	1	not available	not available	not available	not available	normal	1	run 6	proteomic profiling by mass spectrometer	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_02_10-55_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_02_10-55_a.raw	AC=PRIDE:0000565;NT=High-performance liquid chromatography	2	NT=Data-Dependent Acquisition;AC=PRIDE:0000632	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026125-Sample 7	Homo Sapiens	Blood	PBMC	whole cell	purchased from SCD	1	not available	not available	not available	not available	normal	1	run 7	proteomic profiling by mass spectrometer	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_02_15-45_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_02_15-45_a.raw	AC=PRIDE:0000565;NT=High-performance liquid chromatography	2	NT=Data-Dependent Acquisition;AC=PRIDE:0000633	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026125-Sample 8	Homo Sapiens	Blood	PBMC	whole cell	purchased from SCD	1	not available	not available	not available	not available	normal	1	run 8	proteomic profiling by mass spectrometer	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_02_15-45_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_02_15-45_b.raw	AC=PRIDE:0000565;NT=High-performance liquid chromatography	2	NT=Data-Dependent Acquisition;AC=PRIDE:0000634	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026125-Sample 9	Homo Sapiens	Blood	PBMC	whole cell	purchased from SCD	1	not available	not available	not available	not available	normal	1	run 9	proteomic profiling by mass spectrometer	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_02_15-45_c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_02_15-45_c.raw	AC=PRIDE:0000565;NT=High-performance liquid chromatography	2	NT=Data-Dependent Acquisition;AC=PRIDE:0000635	AC=MS:1002038;NT=label free sample	4	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026125-Sample 10	Homo Sapiens	Blood	PBMC	whole cell	purchased from SCD	1	not available	not available	not available	not available	normal	1	run 10	proteomic profiling by mass spectrometer	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_02_20-40_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_02_20-40_a.raw	AC=PRIDE:0000565;NT=High-performance liquid chromatography	2	NT=Data-Dependent Acquisition;AC=PRIDE:0000636	AC=MS:1002038;NT=label free sample	5	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
