source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[origin]	characteristics[individual]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[biological replicate]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[ion exchange method]	comment[salt step]	comment[fractionation method]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD026127-Sample 1	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 1	proteomic profiling by mass spectrometer	LCA_08092018_CD3_FT_F1_CID_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08092018_CD3_FT_F1_CID_01.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	not applicable	AC=PRIDE:0000565;NT=High-performance liquid chromatography	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 2	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 2	proteomic profiling by mass spectrometer	LCA_08092018_CD3_FT_F1_CID_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08092018_CD3_FT_F1_CID_03.raw		not applicable	AC=PRIDE:0000565;NT=High-performance liquid chromatography	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000628	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 3	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 3	proteomic profiling by mass spectrometer	LCA_08092018_CD3_FT_F1_ETD_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08092018_CD3_FT_F1_ETD_02.raw		not applicable	AC=PRIDE:0000565;NT=High-performance liquid chromatography	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000629	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 4	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 4	proteomic profiling by mass spectrometer	LCA_08092018_CD3_FT_F2_CID_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08092018_CD3_FT_F2_CID_01.raw		not applicable	AC=PRIDE:0000565;NT=High-performance liquid chromatography	2	NT=Data-Dependent Acquisition;AC=PRIDE:0000630	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 5	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 5	proteomic profiling by mass spectrometer	LCA_08092018_CD3_FT_F2_CID_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08092018_CD3_FT_F2_CID_03.raw		not applicable	AC=PRIDE:0000565;NT=High-performance liquid chromatography	2	NT=Data-Dependent Acquisition;AC=PRIDE:0000631	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 6	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 6	proteomic profiling by mass spectrometer	LCA_08092018_CD3_FT_F2_ETD_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08092018_CD3_FT_F2_ETD_02.raw		not applicable	AC=PRIDE:0000565;NT=High-performance liquid chromatography	2	NT=Data-Dependent Acquisition;AC=PRIDE:0000632	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 7	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 7	proteomic profiling by mass spectrometer	LCA_08092018_CD3_FT_F3_CID_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08092018_CD3_FT_F3_CID_01.raw		not applicable	AC=PRIDE:0000565;NT=High-performance liquid chromatography	3	NT=Data-Dependent Acquisition;AC=PRIDE:0000633	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 8	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 8	proteomic profiling by mass spectrometer	LCA_08092018_CD3_FT_F3_CID_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08092018_CD3_FT_F3_CID_03.raw		not applicable	AC=PRIDE:0000565;NT=High-performance liquid chromatography	3	NT=Data-Dependent Acquisition;AC=PRIDE:0000634	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 9	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 9	proteomic profiling by mass spectrometer	LCA_08092018_CD8_FT_F3_ETD_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08092018_CD8_FT_F3_ETD_02.raw		not applicable	AC=PRIDE:0000565;NT=High-performance liquid chromatography	3	NT=Data-Dependent Acquisition;AC=PRIDE:0000635	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 10	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 10	proteomic profiling by mass spectrometer	LCA_08112018_CD3_FT_F4_CID_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08112018_CD3_FT_F4_CID_02.raw		not applicable	AC=PRIDE:0000565;NT=High-performance liquid chromatography	4	NT=Data-Dependent Acquisition;AC=PRIDE:0000636	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
