source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell part]	characteristics[TRC stimulation time]	characteristics[cell subclass]	characteristics[activation encounter]	characteristics[activation state]	characteristics[developmental stage]	characteristics[individual]	characteristics[biological replicate]	characteristics[disease]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	assay name	comment[data file]	comment[file uri]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD013284-Sample-1	Homo sapiens	blood	"CD4-positive, alpha-beta T cell"	cytoplasm	0	not available	not available	not available	not available	1	1	normal	not available	not available	not available	run 1	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr01.raw	NT=High-resolution isoelectric focusing (HiRIEF);AC=PRIDE:0000566	1	1	TMT126	AC=MS:1001911; NT=Q exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Tandem Mass Tag 10-plex;AC=NCIT:C161869;TA=K;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	not available	"CD4-positive, alpha-beta T cell"
PXD013284-Sample-1	Homo sapiens	blood	"CD4-positive, alpha-beta T cell"	cytoplasm	15	not available	not available	not available	not available	1	1	normal	not available	not available	not available	run 1	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr01.raw	NT=High-resolution isoelectric focusing (HiRIEF);AC=PRIDE:0000566	1	1	TMT127N	AC=MS:1001911; NT=Q exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Tandem Mass Tag 10-plex;AC=NCIT:C161869;TA=K;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	not available	"CD4-positive, alpha-beta T cell"
PXD013284-Sample-1	Homo sapiens	blood	"CD4-positive, alpha-beta T cell"	cytoplasm	60	not available	not available	not available	not available	1	1	normal	not available	not available	not available	run 1	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr01.raw	NT=High-resolution isoelectric focusing (HiRIEF);AC=PRIDE:0000566	1	1	TMT127C	AC=MS:1001911; NT=Q exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Tandem Mass Tag 10-plex;AC=NCIT:C161869;TA=K;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	not available	"CD4-positive, alpha-beta T cell"
PXD013284-Sample-1	Homo sapiens	blood	"CD4-positive, alpha-beta T cell"	membrane	0	not available	not available	not available	not available	1	1	normal	not available	not available	not available	run 1	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr01.raw	NT=High-resolution isoelectric focusing (HiRIEF);AC=PRIDE:0000566	1	1	TMT128N	AC=MS:1001911; NT=Q exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Tandem Mass Tag 10-plex;AC=NCIT:C161869;TA=K;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	not available	"CD4-positive, alpha-beta T cell"
PXD013284-Sample-1	Homo sapiens	blood	"CD4-positive, alpha-beta T cell"	membrane	15	not available	not available	not available	not available	1	1	normal	not available	not available	not available	run 1	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr01.raw	NT=High-resolution isoelectric focusing (HiRIEF);AC=PRIDE:0000566	1	1	TMT128C	AC=MS:1001911; NT=Q exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Tandem Mass Tag 10-plex;AC=NCIT:C161869;TA=K;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	not available	"CD4-positive, alpha-beta T cell"
PXD013284-Sample-1	Homo sapiens	blood	"CD4-positive, alpha-beta T cell"	membrane	60	not available	not available	not available	not available	1	1	normal	not available	not available	not available	run 1	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr01.raw	NT=High-resolution isoelectric focusing (HiRIEF);AC=PRIDE:0000566	1	1	TMT129N	AC=MS:1001911; NT=Q exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Tandem Mass Tag 10-plex;AC=NCIT:C161869;TA=K;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	not available	"CD4-positive, alpha-beta T cell"
PXD013284-Sample-1	Homo sapiens	blood	"CD4-positive, alpha-beta T cell"	nucleus	0	not available	not available	not available	not available	1	1	normal	not available	not available	not available	run 1	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr01.raw	NT=High-resolution isoelectric focusing (HiRIEF);AC=PRIDE:0000566	1	1	TMT129C	AC=MS:1001911; NT=Q exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Tandem Mass Tag 10-plex;AC=NCIT:C161869;TA=K;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	not available	"CD4-positive, alpha-beta T cell"
PXD013284-Sample-1	Homo sapiens	blood	"CD4-positive, alpha-beta T cell"	nucleus	15	not available	not available	not available	not available	1	1	normal	not available	not available	not available	run 1	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr01.raw	NT=High-resolution isoelectric focusing (HiRIEF);AC=PRIDE:0000566	1	1	TMT130N	AC=MS:1001911; NT=Q exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Tandem Mass Tag 10-plex;AC=NCIT:C161869;TA=K;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	not available	"CD4-positive, alpha-beta T cell"
PXD013284-Sample-1	Homo sapiens	blood	"CD4-positive, alpha-beta T cell"	nucleus	60	not available	not available	not available	not available	1	1	normal	not available	not available	not available	run 1	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr01.raw	NT=High-resolution isoelectric focusing (HiRIEF);AC=PRIDE:0000566	1	1	TMT130C	AC=MS:1001911; NT=Q exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Tandem Mass Tag 10-plex;AC=NCIT:C161869;TA=K;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	not available	"CD4-positive, alpha-beta T cell"
PXD013284-Sample-1	Homo sapiens	blood	"CD4-positive, alpha-beta T cell"	not applicable 	0	not available	not available	not available	not available	1	1	normal	not available	not available	not available	run 1	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr01.raw	NT=High-resolution isoelectric focusing (HiRIEF);AC=PRIDE:0000566	1	1	TMT131	AC=MS:1001911; NT=Q exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Tandem Mass Tag 10-plex;AC=NCIT:C161869;TA=K;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	not available	"CD4-positive, alpha-beta T cell"
