pxd,doi,sdrf url,msstats url,method,samples,run,features,peptides,proteins
MSV000079033-Blood-Plasma-iTRAQ,10.7554/elife.41608,http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/MSV000079033.3/pipeline_info/MSV000079033.sdrf.tsv,http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/MSV000079033.3/msstatsconverter/MSV000079033-Blood-Plasma-iTRAQ.sdrf_openms_design_msstats_in.csv,DDA,4,30,835523,19969,1621
MSV000079033-Blood-Plasma-TMT10,10.7554/elife.41608,http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/MSV000079033.2/pipeline_info/MSV000079033.sdrf.tsv,http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/MSV000079033.2/msstatsconverter/MSV000079033-Blood-Plasma-TMT10.sdrf_openms_design_msstats_in.csv,TMT,10,30,1455279,18646,1626
MSV000079033-Blood-Plasma-TMT6,10.7554/elife.41608,http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/MSV000079033.1/pipeline_info/MSV000079033.sdrf.tsv,http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/MSV000079033.1/msstatsconverter/MSV000079033-Blood-Plasma-TMT6.sdrf_openms_design_msstats_in.csv,TMT,6,30,849815,17996,1625
MSV000079033-IgY14-ITRAQ,10.7554/elife.41608,http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/MSV000079033.5/pipeline_info/MSV000079033.sdrf.tsv,http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/MSV000079033.5/msstatsconverter/MSV000079033-IgY14-ITRAQ.sdrf_openms_design_msstats_in.csv,DDA,12,89,2404251,21698,1658
MSV000079033-IgY14-Supermix-ITRAQ,10.7554/elife.41608,http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/MSV000079033.4/pipeline_info/MSV000079033.sdrf.tsv,http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/MSV000079033.4/msstatsconverter/MSV000079033-IgY14-Supermix-ITRAQ.sdrf_openms_design_msstats_in.csv,DDA,16,120,4100567,38642,2888
PXD002854-erythrocyte,10.1038/s41467-021-25077-6,http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD002854.2/pipeline_info/PXD002854.sdrf.tsv,http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD002854.2/proteomicslfq/PXD002854-erythrocyte.sdrf_openms_design_msstats_in.csv,DDA,6,17,52156,1999,434
PXD002854-plasma,10.1038/s41467-021-25077-6,http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD002854.3/pipeline_info/PXD002854.sdrf.tsv,http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD002854.3/proteomicslfq/PXD002854-plasma.sdrf_openms_design_msstats_in.csv,DDA,22,84,237370,2117,256
PXD002854-serum,10.1038/s41467-021-25077-6,http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD002854.1/pipeline_info/PXD002854.sdrf.tsv,http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD002854.1/proteomicslfq/PXD002854-serum.sdrf_openms_design_msstats_in.csv,DDA,2,70,211883,2623,285
PXD004242,10.1038/s41467-021-26111-3,http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD004242/pipeline_info/PXD004242.sdrf.tsv,http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD004242/proteomicslfq/PXD004242.sdrf_openms_design_msstats_in.csv,DDA,64,1290,1762319,1879,340
PXD006559,10.1038/s41598-017-18985-5,http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD006559/pipeline_info/PXD006559.sdrf.tsv,http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD006559/msstatsconverter/PXD006559.sdrf_openms_design_msstats_in.csv,TMT,10,72,1937999,61825,5110
PXD008441,10.1016/j.aca.2015.11.001,http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD008441/pipeline_info/PXD008441.sdrf.tsv,http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD008441/proteomicslfq/PXD008441.sdrf_openms_design_msstats_in.csv,DDA,115,115,235570,1008,118
