pxd	doi	sdrf url	msstats url	method	samples	run	features	peptides	proteins
MSV000079033-Blood-Plasma-iTRAQ	10.7554/elife.41608	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/MSV000079033.3/pipeline_info/MSV000079033.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/MSV000079033.3/msstatsconverter/MSV000079033-Blood-Plasma-iTRAQ.sdrf_openms_design_msstats_in.csv	DDA	4	30	835523	20040	1603
MSV000079033-Blood-Plasma-TMT10	10.7554/elife.41608	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/MSV000079033.2/pipeline_info/MSV000079033.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/MSV000079033.2/msstatsconverter/MSV000079033-Blood-Plasma-TMT10.sdrf_openms_design_msstats_in.csv	TMT	10	30	1455279	18923	1613
MSV000079033-Blood-Plasma-TMT6	10.7554/elife.41608	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/MSV000079033.1/pipeline_info/MSV000079033.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/MSV000079033.1/msstatsconverter/MSV000079033-Blood-Plasma-TMT6.sdrf_openms_design_msstats_in.csv	TMT	6	30	849815	18126	1611
MSV000079033-IgY14-ITRAQ	10.7554/elife.41608	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/MSV000079033.5/pipeline_info/MSV000079033.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/MSV000079033.5/msstatsconverter/MSV000079033-IgY14-ITRAQ.sdrf_openms_design_msstats_in.csv	DDA	12	89	2404251	21910	1647
MSV000079033-IgY14-Supermix-ITRAQ	10.7554/elife.41608	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/MSV000079033.4/pipeline_info/MSV000079033.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/MSV000079033.4/msstatsconverter/MSV000079033-IgY14-Supermix-ITRAQ.sdrf_openms_design_msstats_in.csv	DDA	16	120	4100567	40858	2878
PXD002854-erythrocyte	10.1038/s41467-021-25077-6	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD002854.2/pipeline_info/PXD002854.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD002854.2/proteomicslfq/PXD002854-erythrocyte.sdrf_openms_design_msstats_in.csv	DDA	6	17	52156	3726	457
PXD002854-plasma	10.1038/s41467-021-25077-6	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD002854.3/pipeline_info/PXD002854.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD002854.3/proteomicslfq/PXD002854-plasma.sdrf_openms_design_msstats_in.csv	DDA	22	84	237370	2972	255
PXD002854-serum	10.1038/s41467-021-25077-6	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD002854.1/pipeline_info/PXD002854.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD002854.1/proteomicslfq/PXD002854-serum.sdrf_openms_design_msstats_in.csv	DDA	2	70	211883	3803	311
PXD004242	10.1038/s41467-021-26111-3	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD004242/pipeline_info/PXD004242.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD004242/proteomicslfq/PXD004242.sdrf_openms_design_msstats_in.csv	DDA	64	1290	1762319	4543	510
PXD006559	10.1038/s41598-017-18985-5	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD006559/pipeline_info/PXD006559.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD006559/msstatsconverter/PXD006559.sdrf_openms_design_msstats_in.csv	TMT	10	72	1937999	62166	5084
PXD008441	10.1016/j.aca.2015.11.001	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD008441/pipeline_info/PXD008441.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD008441/proteomicslfq/PXD008441.sdrf_openms_design_msstats_in.csv	DDA	115	115	235570	15967	1623
PXD008467	10.1373/clinchem.2017.282665	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD008467/pipeline_info/PXD008467.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD008467/msstatsconverter/PXD008467.sdrf_openms_design_msstats_in.csv	TMT	100	304	871449	3282	497
PXD008468	10.1373/clinchem.2017.282665	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD008468/pipeline_info/PXD008468.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD008468/msstatsconverter/PXD008468.sdrf_openms_design_msstats_in.csv	TMT	710	709	2200699	5718	555
PXD009219	10.1186/s12864-019-5848-1	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD009219/pipeline_info/PXD009219.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD009219/proteomicslfq/PXD009219.sdrf_openms_design_msstats_in.csv	DDA	30	127	16213	918	114
PXD009348-DDA	10.1016/j.cels.2018.10.012	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD009348.1/pipeline_info/PXD009348.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD009348.1/proteomicslfq/PXD009348-DDA.sdrf_openms_design_msstats_in.csv	DDA	7	168	368728	17067	1645
PXD010899-LFQ	10.7554/elife.41608	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD010899.1/pipeline_info/PXD010899.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD010899.1/proteomicslfq/PXD010899-LFQ.sdrf_openms_design_msstats_in.csv	DDA	26	1808	1880881	23666	3053
PXD010899-TMT	10.7554/elife.41608	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD010899.2/pipeline_info/PXD010899.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD010899.2/msstatsconverter/PXD010899-TMT.sdrf_openms_design_msstats_in.csv	TMT	40	282	2998909	15551	1424
PXD011839	10.1038/s41587-021-01145-6	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD011839/pipeline_info/PXD011839.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD011839/proteomicslfq/PXD011839.sdrf_openms_design_msstats_in.csv	DDA	85	398	1473396	13495	1693
