source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[sampling time]	characteristics[individual]	characteristics[anticoagulant]	characteristics[biological replicate]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD030225-Sample-1	Homo Sapiens	blood	NT=platelet;AC=CL:0000233	not available	30Y-40Y	not available	not available	normal	1h	donor 1	NaCit+ACD	1	run 1	proteomic profiling by mass spectrometer	HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT	https://www.ebi.ac.uk/pride/archive/projects/PXD030225/HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT.raw	1	TMT 126	1	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion ;AC=MS:1002416 	NT=TMT11plex;TA=K;MT=Variable;AC=NCIT:C161870 	NT=TMT11plex;PP=Any N-term;MT=Variable;NCIT=C161870 	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=platelet;AC=CL:0000233
PXD030225-Sample-2	Homo Sapiens	blood	NT=platelet;AC=CL:0000234	not available	30Y-40Y	not available	not available	normal	1h	donor 1	NaCit+ACD	2	run 2	proteomic profiling by mass spectrometer	HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT	https://www.ebi.ac.uk/pride/archive/projects/PXD030225/HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT.raw	1	TMT 127N	1	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion ;AC=MS:1002416 	NT=TMT11plex;TA=K;MT=Variable;AC=NCIT:C161870 	NT=TMT11plex;PP=Any N-term;MT=Variable;NCIT=C161870 	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=platelet;AC=CL:0000234
PXD030225-Sample-3	Homo Sapiens	blood	NT=platelet;AC=CL:0000235	not available	30Y-40Y	not available	not available	normal	1h	donor 1	NaCit+ACD	3	run 3	proteomic profiling by mass spectrometer	HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT	https://www.ebi.ac.uk/pride/archive/projects/PXD030225/HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT.raw	1	TMT 127C	1	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion ;AC=MS:1002416 	NT=TMT11plex;TA=K;MT=Variable;AC=NCIT:C161870 	NT=TMT11plex;PP=Any N-term;MT=Variable;NCIT=C161870 	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=platelet;AC=CL:0000235
PXD030225-Sample-4	Homo Sapiens	blood	NT=platelet;AC=CL:0000236	not available	30Y-40Y	not available	not available	normal	1h	donor 2	EDTA	1	run 4	proteomic profiling by mass spectrometer	HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT	https://www.ebi.ac.uk/pride/archive/projects/PXD030225/HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT.raw	1	TMT 128N	1	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion ;AC=MS:1002416 	NT=TMT11plex;TA=K;MT=Variable;AC=NCIT:C161870 	NT=TMT11plex;PP=Any N-term;MT=Variable;NCIT=C161870 	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=platelet;AC=CL:0000236
PXD030225-Sample-5	Homo Sapiens	blood	NT=platelet;AC=CL:0000237	not available	30Y-40Y	not available	not available	normal	1h	donor 2	EDTA	2	run 5	proteomic profiling by mass spectrometer	HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT	https://www.ebi.ac.uk/pride/archive/projects/PXD030225/HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT.raw	1	TMT 128C	1	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion ;AC=MS:1002416 	NT=TMT11plex;TA=K;MT=Variable;AC=NCIT:C161870 	NT=TMT11plex;PP=Any N-term;MT=Variable;NCIT=C161870 	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=platelet;AC=CL:0000237
PXD030225-Sample-6	Homo Sapiens	blood	NT=platelet;AC=CL:0000238	not available	30Y-40Y	not available	not available	normal	1h	donor 2	EDTA	3	run 6	proteomic profiling by mass spectrometer	HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT	https://www.ebi.ac.uk/pride/archive/projects/PXD030225/HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT.raw	1	TMT 129N	1	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion ;AC=MS:1002416 	NT=TMT11plex;TA=K;MT=Variable;AC=NCIT:C161870 	NT=TMT11plex;PP=Any N-term;MT=Variable;NCIT=C161870 	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=platelet;AC=CL:0000238
PXD030225-Sample-7	Homo Sapiens	blood	NT=platelet;AC=CL:0000239	not available	30Y-40Y	not available	not available	normal	1h	donor 3	Heparin	1	run 7	proteomic profiling by mass spectrometer	HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT	https://www.ebi.ac.uk/pride/archive/projects/PXD030225/HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT.raw	1	TMT 129C	1	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion ;AC=MS:1002416 	NT=TMT11plex;TA=K;MT=Variable;AC=NCIT:C161870 	NT=TMT11plex;PP=Any N-term;MT=Variable;NCIT=C161870 	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=platelet;AC=CL:0000239
PXD030225-Sample-8	Homo Sapiens	blood	NT=platelet;AC=CL:0000240	not available	30Y-40Y	not available	not available	normal	1h	donor 3	Heparin	2	run 8	proteomic profiling by mass spectrometer	HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT	https://www.ebi.ac.uk/pride/archive/projects/PXD030225/HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT.raw	1	TMT 130C	1	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion ;AC=MS:1002416 	NT=TMT11plex;TA=K;MT=Variable;AC=NCIT:C161870 	NT=TMT11plex;PP=Any N-term;MT=Variable;NCIT=C161870 	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=platelet;AC=CL:0000240
PXD030225-Sample-9	Homo Sapiens	blood	NT=platelet;AC=CL:0000241	not available	30Y-40Y	not available	not available	normal	1h	donor 3	Heparin	3	run 9	proteomic profiling by mass spectrometer	HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT	https://www.ebi.ac.uk/pride/archive/projects/PXD030225/HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT.raw	1	TMT 130N	1	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion ;AC=MS:1002416 	NT=TMT11plex;TA=K;MT=Variable;AC=NCIT:C161870 	NT=TMT11plex;PP=Any N-term;MT=Variable;NCIT=C161870 	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=platelet;AC=CL:0000241
PXD030225-Sample-10	Homo Sapiens	blood	NT=platelet;AC=CL:0000242	not available	30Y-40Y	not available	not available	normal	1h	pool	no applicable	1	run 10	proteomic profiling by mass spectrometer	HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT	https://www.ebi.ac.uk/pride/archive/projects/PXD030225/HOWA-846_HumanPlatelets_TMTExp1_2DRPRP_3pt1parameters_50ug_PSRtrap_PGcolumn_25cm_120min_14ACN_20200228_OT.raw	1	TMT 131C	1	NT=Trypsin; AC=MS:1001251	NT=Orbitrap Fusion ;AC=MS:1002416 	NT=TMT11plex;TA=K;MT=Variable;AC=NCIT:C161870 	NT=TMT11plex;PP=Any N-term;MT=Variable;NCIT=C161870 	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=platelet;AC=CL:0000242
