PX Accession,Experiment Type,# msruns,# samples,# PSMs,# peptides,# proteins,# proteins_quantified,# DEPs,# run time,
PXD004683,DE,48,12,242962,64235,7991,4903,1806,5h 32m 32s,5:32:32
PXD004684,DE,15,8,340501,30074,5854,3503,1594,1h 10m 44s,1:10:44
PXD004873,DE,76,38,1788264,31725,5730,3404,1701,3h 20m 35s,3:20:35
PXD012574,DE,24,30,235755,47577,7493,4867,1470,3h 54m 32s,3:54:32
PXD014194,DE,145,72,1709208,22926,4867,2856,1847,6h 10m,6:10:00
PXD022992,DE,12,6,1491915,135706,13172,9474,8393,6h 14m 59s,6:14:59
PXD023423,DE,36,6,487859,94888,10014,6683,-,8h 6m 50s,8:06:50
PXD025560,DE,203,203,5413288,88199,12115,8523,-,1d 11h 10m 31s,11:10:31
PXD030881,DE,24,10,407792,116306,12591,8260,8067,9h 53m 45s,9:53:45
PXD032263,DE,8,4,933494,112288,11163,8079,4617,4h 51m 56s,4:51:56
PXD033169,DE,50,50,280236,5190,1051,548,164,2h 11m 6s,2:11:06
PXD027817,DE,48,48,138587,2373,580,329,-,55m 42s,0:55:42
PXD002137,DE,192,32,5189483,166811,14360,10550,1152,2d 15h 6m 12s,15:06:12
PXD003497,DE,60,30,1231053,22914,4214,2439,1873,58m 26s,0:58:26
PXD025864,DE,18,6,318986,31954,5002,3101,165,1h 39m 17s,1:39:17
PXD023508,DE,80,80,157303,2805,717,265,-,15h 13m 52s,15:13:52
PXD003539,DE,120,60,1647895,23413,5859,3509,3269,1d 8h 48m 50s,8:48:50
PXD023508,DE,80,80,157373,2805,717,265,-,18h 22m 56s,18:22:56
PXD023508,DE,80,80,157534,2805,717,266,-,22h 7m 3s,22:07:03
PXD018830,DE,25,25,963529,64270,9438,6333,834,3h 19m 41s,3:19:41
PXD021394,DE,24,24,1123224,63072,9680,6577,-,2h 55m 21s,2:55:21
PXD028618,DE,18,18,295437,26261,5766,3478,-,3h 15m 37s,3:15:37
PXD010429,DE,4176,348,2887185,162572,12272,8227,4995,19h 42m,19:42:00
PDC000126,DE,204,170,1343724,175954,13093,9638,6434,20h 42m 10s,20:42:10
PXD002395,DE,198,33,4765530,181082,14583,10530,194,12h 2m 7s,12:02:07
PXD000672,DE,36,36,726081,25636,4903,2971,941,12h 47m 1s,12:47:01
PXD004691,DE,224,97,3709841,26493,4992,2956,1072,5h 39m 7s,5:39:07
PXD014943,DE,113,113,4406765,57115,8777,5609,2261,15h 59m 52s,15:59:52
PXD028251,DE,51,51,1366811,7134,869,538,-,16h 9m 47s,16:09:47
PXD014414,DE,24,30,101040,21693,4965,3130,544,10h 14m 45s,10:14:45
PXD014145,DE,12,11,146489,79960,10345,6482,991,2h 36m 30s,2:36:30
PXD020248,DE,4,12,100786,34042,5628,3458,-,2h 32m 31s,2:32:31
PXD020109,DE,12,4,80722,7736,2234,1217,165,1h 35m 2s,1:35:02
PXD030671,DE,18,33,184438,64775,7932,4665,-,1h 36m 6s,1:36:06
PXD020192,DE,92,46,1448010,74749,7764,6187,-,13h 27m 8s,13:27:08
PXD027008,DE,10,10,509878,37299,8052,5282,-,5h 54m 51s,5:54:51
TOTAL DE (35),,6560,1916,46488978,432134,-,14439,54549,,
PXD000561,AE,2211,85,9539188,289928,14191,12877,-,10h 18s,10:00:18
PXD000865,AE,1055,34,4584514,171870,10175,8974,-,4h 30m 5s,4:30:05
PXD000612,AE,231,11,6045925,144138,9883,8814,-,14h 34m 24s,14:34:24
PXD002854.1,AE,73,2,196797,4306,425,332,,1h 24m 20s,1:24:20
PXD002854.2,AE,17,6,53985,4836,660,493,,37m 56s,0:37:56
PXD002854.3,AE,84,22,231699,3808,363,267,,18h 43m 11s,18:43:11
PXD010154,AE,1367,38,13644346,344215,15792,14602,-,2d 5h 30m,53:30:00
PXD020192,AE,92,46,1445072,59994,7920,6187,-,13h 27m 8s,13:27:08
PXD010271,AE,118,117,655277,69667,7031,5442,-,46m 17s,0:46:17
PXD004452,AE,184,4,347827,115974,10440,8693,-,50m 59s,0:50:59
PXD016999,AE,336,280,3312949,185984,12261,10322,-,9h 40m 21s,9:40:21
PXD016999.1,AE,336,280,3409423,187453,12445,10351,-,7h 29m 58s,7:29:58
PMID24274931,AE,80,4,102355,16381,2576,1814,-,1h 32m,1:32:00
PXD012755,AE,32,32,816445,20519,3685,2325,-,36m 11s,0:36:11
PXD004143,AE,4,2,40582,19282,5464,3518,-,2h 15m 57s,2:15:57
PXD005445,AE,105,7,2816862,66690,6270,9220,-,6h 17m 38s,6:17:38
PXD005445.1,AE,77,77,2067956,151812,10378,5205,-,3h 57m 49s,3:57:49
PXD012131,AE,312,26,4575069,166338,11322,10231,-,1d 1h 45m 4s,25:45:04
PXD019909,AE,154,12,3223352,243137,13037,11680,-,12h 40m 26s,12:40:26
PXD019909.1,AE,43,43,2444015,127893,9969,9445,-,7h 29m 58s,7:29:58
PXD008934,AE,34,34,1133506,42867,4366,3433,-,11h 11m,11:11:00
PXD006675,AE,448,56,10788990,210623,12281,11178,-,1d 15h 58m 57s,39:58:57
PXD008722,AE,252,21,3397589,134566,7972,6851,-,10h 4m 27s,10:04:27
PXD018678,AE,46,46,2013963,35387,4156,3947,-,2h 52m 5s,2:52:05
PXD018678.1,AE,12,1,262936,67611,7235,5930,-,2h 16m 35s,2:16:35
PXD012636,AE,90,9,1725188,113962,7633,6425,-,9h 31m 27s,9:31:27
PXD011349,AE,55,55,344925,12061,1954,1309,-,1h 26m 30s,1:26:30
PXD005736,AE,24,2,387828,123784,9949,8518,-,2h 34m 57s,2:34:57
PXD008840,AE,504,84,6493137,147323,10402,9296,-,1d 20h 30m 24s,44:30:24
PXD022661,AE,60,5,159833,12788,2686,1667,-,48m 54s,0:48:54
PXD013523,AE,96,16,1657534,65554,7601,5855,-,5h 36m 26s,5:36:26
PXD019123,AE,27,9,423137,24714,3797,2860,-,2h 4m 54s,2:04:54
PXD030304,AE,6862,2013,239960404,118322,8941,8941,-,1d 1h 10m 24s,25:10:24
PXD003947,AE,108,10,1003593,84584,5841,5087,-,7h 58m 45s,7:58:45
PXD004242,AE,1290,58,4562256,8029,956,529,-,1d 6h 44m 8s,6:44:08
PXD008333,AE,201,8,1993476,98165,9352,8144,-,11h 28m 47s,11:28:47
PXD009348.1,AE,168,7,375058,19466,2222,1707,-,4h 3m 43s,4:03:43
PXD009737.1,AE,36,1,570500,153489,11943,10477,-,2h 52m 17s,2:52:17
PXD009737.2,AE,36,1,356753,98641,9684,7839,-,1h 54m 42s,1:54:42
PXD009737.3,AE,36,1,433716,91533,10152,8439,,2h 9m 58s,2:09:58
PXD010899.1,AE,1808,26,1391181,41042,3877,3288,-,1d 41m 47s,24:41:47
PXD010899.2,AE,282,40,172728,16497,2519,1506,-,1h 33m 3s,1:33:03
PXD011839,AE,398,84,1082541,20683,2323,1773,-,1d 15h 52m 41s,39:52:41
PXD013231.1,AE,105,7,339615,8874,731,552,-,3h 40m 8s,3:40:08
PXD013231.2,AE,1549,1549,9759381,7437,1308,562,-,1d 19h 13m 51s,43:13:51
PXD017052.1,AE,114,38,1062715,14549,1858,1293,-,1h 58m 4s,1:58:04
PXD017052.2,AE,3139,3140,41579239,29694,5962,3230,,4d 23h 35m,119:35:00
PXD017834.1,AE,9,3,24665,2716,272,172,-,2h 47m 25s,2:47:25
PXD017834.2,AE,18,6,71847,5004,602,305,-,1h 35m 51s,1:35:51
PXD019817,AE,98,98,197079,3469,396,242,-,4h 4m 36s,4:04:36
PXD022469,AE,384,16,630420,18239,1210,924,-,6h 28m 40s,6:28:40
PXD023650,AE,48,1,97510,29383,3573,2797,-,1h 14m 54s,1:14:54
PXD024364.1,AE,281,9,7249804,469414,15334,14615,-,11h 6m 10s,11:06:10
PXD024364.2,AE,366,14,1236716,143556,11467,10466,-,2h 52m 41s,2:52:41
PXD024364.3,AE,394,13,1582618,163137,11987,10754,-,8h 27m 28s,8:27:28
PXD036609,AE,27,27,168495,8919,1676,944,-,4h 39m 18s,4:39:18
PXD039023,AE,879,879,2422620,2620,627,214,,8h 10m 39s,8:10:39
TOTAL AB (57),,27195,9515,406667134,-,-,17990,-,,
