source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD023366-Sample-1	Homo sapiens	germinal vesicle oocytes	not available	not available	not applicable	not available	not available	normal	1	cell	run 1	proteomic profiling by mass spectrometry	GV-4386-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/GV-4386-1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	germinal vesicle oocytes
PXD023366-Sample-2	Homo sapiens	germinal vesicle oocytes	not available	not available	not applicable	not available	not available	normal	2	cell	run 2	proteomic profiling by mass spectrometry	GV-4386-2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/GV-4386-2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	germinal vesicle oocytes
PXD023366-Sample-3	Homo sapiens	germinal vesicle oocytes	not available	not available	not applicable	not available	not available	normal	3	cell	run 3	proteomic profiling by mass spectrometry	GV-4386-3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/GV-4386-3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	germinal vesicle oocytes
PXD023366-Sample-4	Homo sapiens	germinal vesicle oocytes	not available	not available	not applicable	not available	not available	normal	4	cell	run 4	proteomic profiling by mass spectrometry	GV-4388-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/GV-4388-1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	germinal vesicle oocytes
PXD023366-Sample-5	Homo sapiens	germinal vesicle oocytes	not available	not available	not applicable	not available	not available	normal	5	cell	run 5	proteomic profiling by mass spectrometry	GV-4388-2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/GV-4388-2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	germinal vesicle oocytes
PXD023366-Sample-6	Homo sapiens	germinal vesicle oocytes	not available	not available	not applicable	not available	not available	normal	6	cell	run 6	proteomic profiling by mass spectrometry	GV-4909-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/GV-4909-1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	germinal vesicle oocytes
PXD023366-Sample-7	Homo sapiens	germinal vesicle oocytes	not available	not available	not applicable	not available	not available	normal	7	cell	run 7	proteomic profiling by mass spectrometry	GV-4909-2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/GV-4909-2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	germinal vesicle oocytes
PXD023366-Sample-8	Homo sapiens	germinal vesicle oocytes	not available	not available	not applicable	not available	not available	normal	8	cell	run 8	proteomic profiling by mass spectrometry	GV-4909-3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/GV-4909-3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	germinal vesicle oocytes
PXD023366-Sample-9	Homo sapiens	germinal vesicle oocytes	not available	not available	not applicable	not available	not available	normal	9	cell	run 9	proteomic profiling by mass spectrometry	GV-5689.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/GV-5689.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	germinal vesicle oocytes
PXD023366-Sample-10	Homo sapiens	germinal vesicle oocytes	not available	not available	not applicable	not available	not available	normal	10	cell	run 10	proteomic profiling by mass spectrometry	GV-5898-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/GV-5898-1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	germinal vesicle oocytes
