source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[sex]	characteristics[age]	characteristics[cell type]	characteristics[ancestry category]	characteristics[cell line]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell type]
PXD023904-Sample-11	Homo sapiens	Bone	normal	female	15Y	mixed	white	U-2 OS	1	cell	run 1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200912_TIMS3_nLC10_FaCo_SA_AF41B-6classes_mixed_01_D4_1_1741.d.zip.zip	20200912_TIMS3_nLC10_FaCo_SA_AF41B-6classes_mixed_01_D4_1_1741.d.zip.zip	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	mixed
PXD023904-Sample-12	Homo sapiens	Bone	normal	female	15Y	mixed	white	U-2 OS	2	cell	run 2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200912_TIMS3_nLC10_FaCo_SA_AF41B-6classes_mixed_04_D10_1_1744.d.zip.zip	20200912_TIMS3_nLC10_FaCo_SA_AF41B-6classes_mixed_04_D10_1_1744.d.zip.zip	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	mixed
PXD023904-Sample-13	Homo sapiens	Bone	normal	female	15Y	mixed	white	U-2 OS	3	cell	run 3	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200912_TIMS3_nLC10_FaCo_SA_AF41B-6classes_mixed_02_D6_1_1742.d.zip.zip	20200912_TIMS3_nLC10_FaCo_SA_AF41B-6classes_mixed_02_D6_1_1742.d.zip.zip	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	mixed
PXD023904-Sample-14	Homo sapiens	Bone	normal	female	15Y	nuclei classes 6	white	U-2 OS	1	cell	run 4	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200912_TIMS3_nLC10_FaCo_SA_AF41B-6classes_class6_03_F8_1_1730.d.zip.zip	20200912_TIMS3_nLC10_FaCo_SA_AF41B-6classes_class6_03_F8_1_1730.d.zip.zip	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	nuclei classes 6
PXD023904-Sample-15	Homo sapiens	Bone	normal	female	15Y	nuclei classes 6	white	U-2 OS	2	cell	run 5	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200912_TIMS3_nLC10_FaCo_SA_AF41B-6classes_class6_02_F6_1_1723.d.zip.zip	20200912_TIMS3_nLC10_FaCo_SA_AF41B-6classes_class6_02_F6_1_1723.d.zip.zip	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	nuclei classes 6
PXD023904-Sample-16	Homo sapiens	Bone	normal	female	15Y	nuclei classes 6	white	U-2 OS	3	cell	run 6	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200912_TIMS3_nLC10_FaCo_SA_AF41B-6classes_class6_01_F4_1_1716.d.zip.zip	20200912_TIMS3_nLC10_FaCo_SA_AF41B-6classes_class6_01_F4_1_1716.d.zip.zip	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	nuclei classes 6
PXD023904-Sample-17	Homo sapiens	Bone	normal	female	15Y	nuclei classes 5	white	U-2 OS	1	cell	run 7	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200912_TIMS3_nLC10_FaCo_SA_AF41B-6classes_class5_03_D14_1_1729.d.zip.zip	20200912_TIMS3_nLC10_FaCo_SA_AF41B-6classes_class5_03_D14_1_1729.d.zip.zip	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	nuclei classes 5
PXD023904-Sample-18	Homo sapiens	Bone	normal	female	15Y	nuclei classes 5	white	U-2 OS	2	cell	run 8	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200912_TIMS3_nLC10_FaCo_SA_AF41B-6classes_class5_02_D12_1_1722.d.zip.zip	20200912_TIMS3_nLC10_FaCo_SA_AF41B-6classes_class5_02_D12_1_1722.d.zip.zip	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	nuclei classes 5
PXD023904-Sample-19	Homo sapiens	Bone	normal	female	15Y	nuclei classes 5	white	U-2 OS	3	cell	run 9	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200912_TIMS3_nLC10_FaCo_SA_AF41B-6classes_class5_01_D10_1_1715.d.zip.zip	20200912_TIMS3_nLC10_FaCo_SA_AF41B-6classes_class5_01_D10_1_1715.d.zip.zip	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	nuclei classes 5
PXD023904-Sample-20	Homo sapiens	Bone	normal	female	15Y	nuclei classes 4	white	U-2 OS	1	cell	run 10	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200912_TIMS3_nLC10_FaCo_SA_AF41B-6classes_class4_03_D8_1_1728.d.zip.zip	20200912_TIMS3_nLC10_FaCo_SA_AF41B-6classes_class4_03_D8_1_1728.d.zip.zip	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	nuclei classes 4
