source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[sex]	characteristics[age]	characteristics[cell line]	characteristics[treatment]	characteristics[cell type]	characteristics[ancestry category]	characteristics[biological replicate]	characteristics[cell cycle stage]	material type	assay name	technology type	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell cycle stage]
PXD024043-Sample-16	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	1	G2-M	cell	run 1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_01_S3-G2_1_3873.d	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_01_S3-G2_1_3873.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
PXD024043-Sample-17	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	2	G2-M	cell	run 2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_02_S3-G3_1_3874.d	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_02_S3-G3_1_3874.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
PXD024043-Sample-18	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	3	G2-M	cell	run 3	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_03_S3-G4_1_3875.d	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_03_S3-G4_1_3875.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
PXD024043-Sample-19	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	4	G2-M	cell	run 4	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_04_S3-G5_1_3876.d	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_04_S3-G5_1_3876.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
PXD024043-Sample-20	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	5	G2-M	cell	run 5	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_05_S3-G6_1_3877.d	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_05_S3-G6_1_3877.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
PXD024043-Sample-21	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	6	G2-M	cell	run 6	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_06_S3-G7_1_3878.d	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_06_S3-G7_1_3878.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
PXD024043-Sample-22	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	7	G2-M	cell	run 7	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_10_S3-G11_1_3882.d	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_10_S3-G11_1_3882.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
PXD024043-Sample-23	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	8	G2-M	cell	run 8	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_11_S3-G12_1_3883.d	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_11_S3-G12_1_3883.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
PXD024043-Sample-24	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	9	G2-M	cell	run 9	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_15_S3-H5_1_3888.d	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_15_S3-H5_1_3888.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
PXD024043-Sample-25	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	10	G2-M	cell	run 10	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_17_S3-H7_1_3890.d	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_17_S3-H7_1_3890.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
