source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	Material Type	assay name	characteristics[technology type]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[organism part]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[precursor mass tolerance]	factor value[organism part]
PXD001299-Sample-1	Homo sapiens	iris	not available	not available	not available	not available	not available	not available	1	organism part	run 1	proteomic profiling by mass spectrometry	Iris_D1.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD001299/Iris_D1.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.05 Da	iris
PXD001299-Sample-1	Homo sapiens	iris	not available	not available	not available	not available	not available	not available	1	organism part	run 2	proteomic profiling by mass spectrometry	Iris_D10.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD001299/Iris_D10.raw	1	10	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.05 Da	iris
PXD001299-Sample-1	Homo sapiens	iris	not available	not available	not available	not available	not available	not available	1	organism part	run 3	proteomic profiling by mass spectrometry	Iris_D11.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD001299/Iris_D11.raw	1	11	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.05 Da	iris
PXD001299-Sample-1	Homo sapiens	iris	not available	not available	not available	not available	not available	not available	1	organism part	run 4	proteomic profiling by mass spectrometry	Iris_D12.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD001299/Iris_D12.raw	1	12	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.05 Da	iris
PXD001299-Sample-1	Homo sapiens	iris	not available	not available	not available	not available	not available	not available	1	organism part	run 5	proteomic profiling by mass spectrometry	Iris_D2.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD001299/Iris_D2.raw	1	2	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.05 Da	iris
PXD001299-Sample-1	Homo sapiens	iris	not available	not available	not available	not available	not available	not available	1	organism part	run 6	proteomic profiling by mass spectrometry	Iris_D3.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD001299/Iris_D3.raw	1	3	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.05 Da	iris
PXD001299-Sample-1	Homo sapiens	iris	not available	not available	not available	not available	not available	not available	1	organism part	run 7	proteomic profiling by mass spectrometry	Iris_D4.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD001299/Iris_D4.raw	1	4	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.05 Da	iris
PXD001299-Sample-1	Homo sapiens	iris	not available	not available	not available	not available	not available	not available	1	organism part	run 8	proteomic profiling by mass spectrometry	Iris_D5.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD001299/Iris_D5.raw	1	5	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.05 Da	iris
PXD001299-Sample-1	Homo sapiens	iris	not available	not available	not available	not available	not available	not available	1	organism part	run 9	proteomic profiling by mass spectrometry	Iris_D6.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD001299/Iris_D6.raw	1	6	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.05 Da	iris
PXD001299-Sample-1	Homo sapiens	iris	not available	not available	not available	not available	not available	not available	1	organism part	run 10	proteomic profiling by mass spectrometry	Iris_D7.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD001299/Iris_D7.raw	1	7	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.05 Da	iris
