source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	Material Type	assay name	characteristics[technology type]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[organism part]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[precursor mass tolerance]	factor value[organism part]
PXD002194-Sample-1	Homo sapiens	choroid	not available	not available	not available	not available	not available	not available	1	organism part	run 1	proteomic profiling by mass spectrometry	RPE-Choroid_2509_01.raw	http://ftp.ebi.ac.uk/pride-archive/2016/02/PXD002194/RPE-Choroid_2509_01.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	choroid
PXD002194-Sample-1	Homo sapiens	choroid	not available	not available	not available	not available	not available	not available	1	organism part	run 2	proteomic profiling by mass spectrometry	RPE-Choroid_2509_02.raw	http://ftp.ebi.ac.uk/pride-archive/2016/02/PXD002194/RPE-Choroid_2509_02.raw	1	2	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	choroid
PXD002194-Sample-1	Homo sapiens	choroid	not available	not available	not available	not available	not available	not available	1	organism part	run 3	proteomic profiling by mass spectrometry	RPE-Choroid_2509_03.raw	http://ftp.ebi.ac.uk/pride-archive/2016/02/PXD002194/RPE-Choroid_2509_03.raw	1	3	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	choroid
PXD002194-Sample-1	Homo sapiens	choroid	not available	not available	not available	not available	not available	not available	1	organism part	run 4	proteomic profiling by mass spectrometry	RPE-Choroid_2509_04.raw	http://ftp.ebi.ac.uk/pride-archive/2016/02/PXD002194/RPE-Choroid_2509_04.raw	1	4	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	choroid
PXD002194-Sample-1	Homo sapiens	choroid	not available	not available	not available	not available	not available	not available	1	organism part	run 5	proteomic profiling by mass spectrometry	RPE-Choroid_2509_05.raw	http://ftp.ebi.ac.uk/pride-archive/2016/02/PXD002194/RPE-Choroid_2509_05.raw	1	5	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	choroid
PXD002194-Sample-1	Homo sapiens	choroid	not available	not available	not available	not available	not available	not available	1	organism part	run 6	proteomic profiling by mass spectrometry	RPE-Choroid_2509_06.raw	http://ftp.ebi.ac.uk/pride-archive/2016/02/PXD002194/RPE-Choroid_2509_06.raw	1	6	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	choroid
PXD002194-Sample-1	Homo sapiens	choroid	not available	not available	not available	not available	not available	not available	1	organism part	run 7	proteomic profiling by mass spectrometry	RPE-Choroid_2509_07.raw	http://ftp.ebi.ac.uk/pride-archive/2016/02/PXD002194/RPE-Choroid_2509_07.raw	1	7	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	choroid
PXD002194-Sample-1	Homo sapiens	choroid	not available	not available	not available	not available	not available	not available	1	organism part	run 8	proteomic profiling by mass spectrometry	RPE-Choroid_2509_08.raw	http://ftp.ebi.ac.uk/pride-archive/2016/02/PXD002194/RPE-Choroid_2509_08.raw	1	8	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	choroid
PXD002194-Sample-1	Homo sapiens	choroid	not available	not available	not available	not available	not available	not available	1	organism part	run 9	proteomic profiling by mass spectrometry	RPE-Choroid_2509_09.raw	http://ftp.ebi.ac.uk/pride-archive/2016/02/PXD002194/RPE-Choroid_2509_09.raw	1	9	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	choroid
PXD002194-Sample-1	Homo sapiens	choroid	not available	not available	not available	not available	not available	not available	1	organism part	run 10	proteomic profiling by mass spectrometry	RPE-Choroid_2509_10.raw	http://ftp.ebi.ac.uk/pride-archive/2016/02/PXD002194/RPE-Choroid_2509_10.raw	1	10	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	choroid
PXD002194-Sample-1	Homo sapiens	choroid	not available	not available	not available	not available	not available	not available	1	organism part	run 11	proteomic profiling by mass spectrometry	RPE-Choroid_2509_11.raw	http://ftp.ebi.ac.uk/pride-archive/2016/02/PXD002194/RPE-Choroid_2509_11.raw	1	11	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	choroid
PXD002194-Sample-1	Homo sapiens	choroid	not available	not available	not available	not available	not available	not available	1	organism part	run 12	proteomic profiling by mass spectrometry	RPE-Choroid_2509_12.raw	http://ftp.ebi.ac.uk/pride-archive/2016/02/PXD002194/RPE-Choroid_2509_12.raw	1	12	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	choroid
PXD002194-Sample-2	Homo sapiens	choroid	not available	not available	not available	not available	not available	not available	2	organism part	run 13	proteomic profiling by mass spectrometry	RPE-Choroid_2521_01.raw	http://ftp.ebi.ac.uk/pride-archive/2016/02/PXD002194/RPE-Choroid_2521_01.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	choroid
