source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	material type	assay name	technology type	comment[data file]	comment[file uri]	comment[proteomics data acquisition method]	comment[fractionation method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[fraction identifier]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD018678-Sample-1	Homo sapiens	heart	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	1	tissue	run 1	proteomic profiling by mass spectrometry	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_1.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	350 m/z	1650 m/z	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	20 ppm	heart
PXD018678-Sample-2	Homo sapiens	heart	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	2	tissue	run 2	proteomic profiling by mass spectrometry	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_3.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	350 m/z	1650 m/z	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	20 ppm	heart
PXD018678-Sample-3	Homo sapiens	heart	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	3	tissue	run 3	proteomic profiling by mass spectrometry	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_4.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	350 m/z	1650 m/z	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	20 ppm	heart
PXD018678-Sample-4	Homo sapiens	heart	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	4	tissue	run 4	proteomic profiling by mass spectrometry	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_5.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	350 m/z	1650 m/z	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	20 ppm	heart
PXD018678-Sample-5	Homo sapiens	heart	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	5	tissue	run 5	proteomic profiling by mass spectrometry	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_7.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	350 m/z	1650 m/z	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	20 ppm	heart
PXD018678-Sample-6	Homo sapiens	heart	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	6	tissue	run 6	proteomic profiling by mass spectrometry	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_8.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	350 m/z	1650 m/z	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	20 ppm	heart
PXD018678-Sample-7	Homo sapiens	heart	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	7	tissue	run 7	proteomic profiling by mass spectrometry	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_9.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	350 m/z	1650 m/z	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	20 ppm	heart
PXD018678-Sample-8	Homo sapiens	heart	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	8	tissue	run 8	proteomic profiling by mass spectrometry	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_10.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	350 m/z	1650 m/z	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	20 ppm	heart
PXD018678-Sample-9	Homo sapiens	heart	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	9	tissue	run 9	proteomic profiling by mass spectrometry	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_11.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	350 m/z	1650 m/z	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	20 ppm	heart
PXD018678-Sample-10	Homo sapiens	heart	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	10	tissue	run 10	proteomic profiling by mass spectrometry	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_13.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	350 m/z	1650 m/z	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	20 ppm	heart
