source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	material type	Assay Name	comment[fraction identifier]	comment[technical replicate]	comment[file uri]	comment[instrument]	comment[MS2 analyzer type]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	factor value[organism part]
PXD019123-Sample-28	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	1	tissue	run 28	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K10_F1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	20 ppm	0.05 Da	chRCC_K10_F1.raw	kidney
PXD019123-Sample-28	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	1	tissue	run 29	2	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K10_F2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	20 ppm	0.05 Da	chRCC_K10_F2.raw	kidney
PXD019123-Sample-28	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	1	tissue	run 30	3	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K10_F3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	20 ppm	0.05 Da	chRCC_K10_F3.raw	kidney
PXD019123-Sample-29	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	2	tissue	run 31	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K1_F1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	20 ppm	0.05 Da	chRCC_K1_F1.raw	kidney
PXD019123-Sample-29	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	2	tissue	run 32	2	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K1_F2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	20 ppm	0.05 Da	chRCC_K1_F2.raw	kidney
PXD019123-Sample-29	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	2	tissue	run 33	3	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K1_F3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	20 ppm	0.05 Da	chRCC_K1_F3.raw	kidney
PXD019123-Sample-30	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	3	tissue	run 34	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K2_F1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	20 ppm	0.05 Da	chRCC_K2_F1.raw	kidney
PXD019123-Sample-30	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	3	tissue	run 35	2	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K2_F2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	20 ppm	0.05 Da	chRCC_K2_F2.raw	kidney
PXD019123-Sample-30	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	3	tissue	run 36	3	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K2_F3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	20 ppm	0.05 Da	chRCC_K2_F3.raw	kidney
PXD019123-Sample-31	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	4	tissue	run 37	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K3_F1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	20 ppm	0.05 Da	chRCC_K3_F1.raw	kidney
PXD019123-Sample-31	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	4	tissue	run 38	2	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K3_F2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	20 ppm	0.05 Da	chRCC_K3_F2.raw	kidney
PXD019123-Sample-31	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	4	tissue	run 39	3	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K3_F3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	20 ppm	0.05 Da	chRCC_K3_F3.raw	kidney
PXD019123-Sample-32	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	5	tissue	run 40	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K4_F1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	20 ppm	0.05 Da	chRCC_K4_F1.raw	kidney
PXD019123-Sample-32	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	5	tissue	run 41	2	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K4_F2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	20 ppm	0.05 Da	chRCC_K4_F2.raw	kidney
