Plex Dataset Name,Run Metadata ID,Number of Fractions,label_free
"01_CPTAC_COprospective_Proteome_VU_20150901","S037-1-1","6","01CO006
Primary Tumor"
"02_CPTAC_COprospective_Proteome_VU_20150624","S037-1-2","6","01CO008
Primary Tumor"
"03_CPTAC_COprospective_Proteome_VU_20150624","S037-1-3","6","05CO004
Primary Tumor"
"04_CPTAC_COprospective_Proteome_VU_20150915","S037-1-4","6","05CO006
Primary Tumor"
"05_CPTAC_COprospective_Proteome_VU_20150915","S037-1-5","6","05CO007
Primary Tumor"
"06_CPTAC_COprospective_Proteome_VU_20150915","S037-1-6","6","05CO011
Primary Tumor"
"07_CPTAC_COprospective_Proteome_VU_20150915","S037-1-7","6","05CO015
Primary Tumor"
"08_CPTAC_COprospective_Proteome_VU_20150928","S037-1-8","6","05CO020
Primary Tumor"
"09_CPTAC_COprospective_Proteome_VU_20150928","S037-1-9","6","05CO028
Primary Tumor"
"100_CPTAC_COprospective_Proteome_VU_20160806","S037-1-100","6","09CO014
Primary Tumor"
"101_CPTAC_COprospective_Proteome_VU_20160806","S037-1-101","6","09CO015
Primary Tumor"
"102_CPTAC_COprospective_Proteome_VU_20160806","S037-1-102","6","09CO018
Primary Tumor"
"103_CPTAC_COprospective_Proteome_VU_20160808","S037-1-103","6","09CO019
Primary Tumor"
"10_CPTAC_COprospective_Proteome_VU_20151002","S037-1-10","6","05CO029
Primary Tumor"
"11_CPTAC_COprospective_Proteome_VU_20151002","S037-1-11","6","05CO032
Primary Tumor"
"12_CPTAC_COprospective_Proteome_VU_20151016","S037-1-12","6","05CO033
Primary Tumor"
"13_CPTAC_COprospective_Proteome_VU_20151030","S037-1-13","6","06CO001
Primary Tumor"
"14_CPTAC_COprospective_Proteome_VU_20151030","S037-1-14","6","06CO002
Primary Tumor"
"15_CPTAC_COprospective_Proteome_VU_20151102","S037-1-15","6","09CO005
Primary Tumor"
"16_CPTAC_COprospective_Proteome_VU_20151102","S037-1-16","6","09CO006
Primary Tumor"
"17_CPTAC_COprospective_Proteome_VU_20150807","S037-1-17","6","09CO008
Primary Tumor"
"18_CPTAC_COprospective_Proteome_VU_20151105","S037-1-18","6","14CO001
Primary Tumor"
"19_CPTAC_COprospective_Proteome_VU_20151112","S037-1-19","6","14CO002
Primary Tumor"
"20_CPTAC_COprospective_Proteome_VU_20151112","S037-1-20","6","20CO001
Primary Tumor"
"21_CPTAC_COprospective_Proteome_VU_20151112","S037-1-21","6","20CO003
Primary Tumor"
"22_CPTAC_COprospective_Proteome_VU_20150202","S037-1-22","6","05CO002
Primary Tumor"
"23_CPTAC_COprospective_Proteome_VU_20150215","S037-1-23","6","01CO005
Primary Tumor"
"24_CPTAC_COprospective_Proteome_VU_20150215","S037-1-24","6","01CO001
Primary Tumor"
"25_CPTAC_COprospective_Proteome_VU_20160726","S037-1-25","6","05CO003
Primary Tumor"
"26_CPTAC_COprospective_Proteome_VU_20150810","S037-1-26","6","05CO049
Primary Tumor"
"27_CPTAC_COprospective_Proteome_VU_20150810","S037-1-27","6","22CO004
Primary Tumor"
"28_CPTAC_COprospective_Proteome_VU_20150810","S037-1-28","6","05CO037
Primary Tumor"
"29_CPTAC_COprospective_Proteome_VU_20150810","S037-1-29","6","11CO033
Primary Tumor"
"30_CPTAC_COprospective_Proteome_VU_20150810","S037-1-30","6","20CO006
Primary Tumor"
