Plex Dataset Name,Run Metadata ID,Number of Fractions,label_free
"TCGA-A6-3807-01A-22_Proteome_VU_20121019","S016-1-1","15","TCGA-A6-3807
Primary Tumor"
"TCGA-A6-3808-01A-22_Proteome_VU_20121205","S016-1-2","15","TCGA-A6-3808
Primary Tumor"
"TCGA-A6-3810-01A-22_Proteome_VU_20121029","S016-1-3","15","TCGA-A6-3810
Primary Tumor"
"TCGA-AA-3518-01A-11_Proteome_VU_20120915","S016-1-4","15","TCGA-AA-3518
Primary Tumor"
"TCGA-AA-3525-01A-12_Proteome_VU_20121209","S016-1-5","15","TCGA-AA-3525
Primary Tumor"
"TCGA-AA-3526-01A-11_Proteome_VU_20130106","S016-1-6","15","TCGA-AA-3526
Primary Tumor"
"TCGA-AA-3529-01A-12_Proteome_VU_20121203","S016-1-7","15","TCGA-AA-3529
Primary Tumor"
"TCGA-AA-3531-01A-22_Proteome_VU_20130101","S016-1-8","15","TCGA-AA-3531
Primary Tumor"
"TCGA-AA-3534-01A-22_Proteome_VU_20130208","S016-1-9","15","TCGA-AA-3534
Primary Tumor"
"TCGA-AA-3552-01A-22_Proteome_VU_20130125","S016-1-10","15","TCGA-AA-3552
Primary Tumor"
"TCGA-AA-3554-01A-22_Proteome_VU_20121122","S016-1-11","15","TCGA-AA-3554
Primary Tumor"
"TCGA-AA-3558-01A-22_Proteome_VU_20121112","S016-1-12","15","TCGA-AA-3558
Primary Tumor"
"TCGA-AA-3561-01A-22_Proteome_VU_20120808","S016-1-13","15","TCGA-AA-3561
Primary Tumor"
"TCGA-AA-3664-01A-22_Proteome_VU_20130123","S016-1-14","15","TCGA-AA-3664
Primary Tumor"
"TCGA-AA-3666-01A-31_Proteome_VU_20121101","S016-1-15","15","TCGA-AA-3666
Primary Tumor"
"TCGA-AA-3672-01A-22_Proteome_VU_20121217","S016-1-16","15","TCGA-AA-3672
Primary Tumor"
"TCGA-AA-3684-01A-31_Proteome_VU_20121018","S016-1-17","15","TCGA-AA-3684
Primary Tumor"
"TCGA-AA-3695-01A-22_Proteome_VU_20130131","S016-1-18","15","TCGA-AA-3695
Primary Tumor"
"TCGA-AA-3710-01A-22_Proteome_VU_20120827","S016-1-19","15","TCGA-AA-3710
Primary Tumor"
"TCGA-AA-3715-01A-22_Proteome_VU_20120821","S016-1-20","15","TCGA-AA-3715
Primary Tumor"
"TCGA-AA-3818-01A-22_Proteome_VU_20130210","S016-1-21","15","TCGA-AA-3818
Primary Tumor"
"TCGA-AA-3848-01A-22_Proteome_VU_20121204","S016-1-22","15","TCGA-AA-3848
Primary Tumor"
"TCGA-AA-3864-01A-22_Proteome_VU_20121226","S016-1-23","15","TCGA-AA-3864
Primary Tumor"
"TCGA-AA-3986-01A-12_Proteome_VU_20130116","S016-1-24","15","TCGA-AA-3986
Primary Tumor"
"TCGA-AA-3989-01A-22_Proteome_VU_20121114","S016-1-25","15","TCGA-AA-3989
Primary Tumor"
"TCGA-AA-A004-01A-22_Proteome_VU_20121020","S016-1-26","15","TCGA-AA-A004
Primary Tumor"
"TCGA-AA-A00A-01A-22_Proteome_VU_20121221","S016-1-27","15","TCGA-AA-A00A
Primary Tumor"
