Plex Dataset Name,Run Metadata ID,Number of Fractions,itraq_114,itraq_115,itraq_116,itraq_117
"TCGA_13-1489-01A_42-2590-01A_36-2529-01A_Proteome_PNNL_20130518","S020-3-11","24","TCGA-13-1489
Primary Tumor","TCGA-42-2590
Primary Tumor","TCGA-36-2529
Primary Tumor","Internal Reference
Not Reported"
"TCGA_24-1105-01A_29-1785-01A_24-2290-01A_Proteome_PNNL_20130924","S020-3-27","24","TCGA-24-1105
Primary Tumor","TCGA-29-1785
Primary Tumor","TCGA-24-2290
Primary Tumor","Internal Reference
Not Reported"
"TCGA_24-1428-01A_24-1923-01A_24-1563-01A_Proteome_PNNL_20130813","S020-3-20","24","TCGA-24-1428
Primary Tumor","TCGA-24-1923
Primary Tumor","TCGA-24-1563
Primary Tumor","Internal Reference
Not Reported"
"TCGA_24-1430-01A_24-1466-01A_24-1552-01A_Proteome_PNNL_20130813","S020-3-21","24","TCGA-24-1430
Primary Tumor","TCGA-24-1466
Primary Tumor","TCGA-24-1552
Primary Tumor","Internal Reference
Not Reported"
"TCGA_24-1467-01A_29-2432-01A_25-1321-01A_Proteome_PNNL_20130303","S020-3-2","24","TCGA-24-1467
Primary Tumor","TCGA-29-2432
Primary Tumor","TCGA-25-1321
Primary Tumor","Internal Reference
Not Reported"
"TCGA_24-1545-01A_24-2288-01A_29-1693-01A_Proteome_PNNL_20130303","S020-3-5","24","TCGA-24-1545
Primary Tumor","TCGA-24-2288
Primary Tumor","TCGA-29-1693
Primary Tumor","Internal Reference
Not Reported"
"TCGA_24-1556-01A_24-2267-01A_24-2260-01A_Proteome_PNNL_20130621","S020-3-17","24","TCGA-24-1556
Primary Tumor","TCGA-24-2267
Primary Tumor","TCGA-24-2260
Primary Tumor","Internal Reference
Not Reported"
"TCGA_24-1604-01A_24-2020-01A_25-1320-01A_Proteome_PNNL_20130517","S020-3-9","24","TCGA-24-1604
Primary Tumor","TCGA-24-2020
Primary Tumor","TCGA-25-1320
Primary Tumor","Internal Reference
Not Reported"
"TCGA_24-2023-01A_24-1603-01A_61-2612-01A_Proteome_PNNL_20130302","S020-3-3","24","TCGA-24-2023
Primary Tumor","TCGA-24-1603
Primary Tumor","TCGA-61-2612
Primary Tumor","Internal Reference
Not Reported"
"TCGA_24-2295-01A_24-2027-01A_29-1768-01A_Proteome_PNNL_20130924","S020-3-26","24","TCGA-24-2295
Primary Tumor","TCGA-24-2027
Primary Tumor","TCGA-29-1768
Primary Tumor","Internal Reference
Not Reported"
"TCGA_25-1316-01A_24-1550-01A_24-1555-01A_Proteome_PNNL_20130303","S020-3-1","24","TCGA-25-1316
Primary Tumor","TCGA-24-1550
Primary Tumor","TCGA-24-1555
Primary Tumor","Internal Reference
Not Reported"
"TCGA_25-1319-01A_24-2289-01A_42-2588-01A_Proteome_PNNL_20130518","S020-3-12","24","TCGA-25-1319
Primary Tumor","TCGA-24-2289
Primary Tumor","TCGA-42-2588
Primary Tumor","Internal Reference
Not Reported"
"TCGA_25-1628-01A_13-1494-01A_24-1104-01A_Proteome_PNNL_20130303","S020-3-4","24","TCGA-25-1628
Primary Tumor","TCGA-13-1494
Primary Tumor","TCGA-24-1104
Primary Tumor","Internal Reference
Not Reported"
"TCGA_25-1630-01A_13-1499-01A_29-1775-01A_Proteome_PNNL_20130816","S020-3-23","24","TCGA-25-1630
Primary Tumor","TCGA-13-1499
Primary Tumor","TCGA-29-1775
Primary Tumor","Internal Reference
Not Reported"
"TCGA_25-2400-01A_30-1866-01A_25-2409-01A_Proteome_PNNL_20130622","S020-3-18","24","TCGA-25-2400
Primary Tumor","TCGA-30-1866
Primary Tumor","TCGA-25-2409
Primary Tumor","Internal Reference
Not Reported"
