source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell type]	characteristics[sex]	characteristics[xenograft]	characteristics[disease]	characteristics[biological replicate]	characteristics[individual]	characteristics[enrichment process]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	factor value[disease]
PDC000124-Sample-1	Homo sapiens	not available	not available	not available	not available	not available	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	basal and luminal breast cancer	1	WHIM-P94	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/23/01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f01.raw?Expires=1686120783&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=dVtR3B741AcnP9ZTFIAYPGtiS3Qw0gcReii6Mpg0humpHeBZpgHab3najnn0nhPozBjIrMgH~B~f2p0~kGoXi45V8iyf2jnaIC2x5muJwxb01hV0xGHMxQAzAHLt1PG6qYOOPtbvTb2YwJ2QFJPrFkcD9AV7pwH-jXdXNNvuIPw8Kv0a~sq9S95cz7PgDlhg8KZ0S~UWmCe4bYL43U3AhfTNf7oUFZrzcq49go~WXeU3eggzhFrIN7XKDCOaZglOKmKRfw9bEvOyojzCO0DDY~w3OmoKrLwYesPAZuPz-4NzO7gq7pPHm2RaOxKI68Plq69wktMI6PhV4C4BgnU9XA__	1	1	TMT126	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
PDC000124-Sample-2	Homo sapiens	not available	not available	not available	not available	not available	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	basal and luminal breast cancer	1	WHIM-P94	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/23/01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f01.raw?Expires=1686120783&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=dVtR3B741AcnP9ZTFIAYPGtiS3Qw0gcReii6Mpg0humpHeBZpgHab3najnn0nhPozBjIrMgH~B~f2p0~kGoXi45V8iyf2jnaIC2x5muJwxb01hV0xGHMxQAzAHLt1PG6qYOOPtbvTb2YwJ2QFJPrFkcD9AV7pwH-jXdXNNvuIPw8Kv0a~sq9S95cz7PgDlhg8KZ0S~UWmCe4bYL43U3AhfTNf7oUFZrzcq49go~WXeU3eggzhFrIN7XKDCOaZglOKmKRfw9bEvOyojzCO0DDY~w3OmoKrLwYesPAZuPz-4NzO7gq7pPHm2RaOxKI68Plq69wktMI6PhV4C4BgnU9XA__	1	1	TMT127N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
PDC000124-Sample-3	Homo sapiens	not available	not available	not available	not available	not available	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	basal and luminal breast cancer	1	WHIM-P94	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/23/01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f01.raw?Expires=1686120783&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=dVtR3B741AcnP9ZTFIAYPGtiS3Qw0gcReii6Mpg0humpHeBZpgHab3najnn0nhPozBjIrMgH~B~f2p0~kGoXi45V8iyf2jnaIC2x5muJwxb01hV0xGHMxQAzAHLt1PG6qYOOPtbvTb2YwJ2QFJPrFkcD9AV7pwH-jXdXNNvuIPw8Kv0a~sq9S95cz7PgDlhg8KZ0S~UWmCe4bYL43U3AhfTNf7oUFZrzcq49go~WXeU3eggzhFrIN7XKDCOaZglOKmKRfw9bEvOyojzCO0DDY~w3OmoKrLwYesPAZuPz-4NzO7gq7pPHm2RaOxKI68Plq69wktMI6PhV4C4BgnU9XA__	1	1	TMT127C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
PDC000124-Sample-4	Homo sapiens	not available	not available	not available	not available	not available	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	basal and luminal breast cancer	1	WHIM-P94	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/23/01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f01.raw?Expires=1686120783&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=dVtR3B741AcnP9ZTFIAYPGtiS3Qw0gcReii6Mpg0humpHeBZpgHab3najnn0nhPozBjIrMgH~B~f2p0~kGoXi45V8iyf2jnaIC2x5muJwxb01hV0xGHMxQAzAHLt1PG6qYOOPtbvTb2YwJ2QFJPrFkcD9AV7pwH-jXdXNNvuIPw8Kv0a~sq9S95cz7PgDlhg8KZ0S~UWmCe4bYL43U3AhfTNf7oUFZrzcq49go~WXeU3eggzhFrIN7XKDCOaZglOKmKRfw9bEvOyojzCO0DDY~w3OmoKrLwYesPAZuPz-4NzO7gq7pPHm2RaOxKI68Plq69wktMI6PhV4C4BgnU9XA__	1	1	TMT128N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
PDC000124-Sample-5	Homo sapiens	not available	not available	not available	not available	not available	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	basal and luminal breast cancer	1	WHIM-P93	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/23/01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f01.raw?Expires=1686120783&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=dVtR3B741AcnP9ZTFIAYPGtiS3Qw0gcReii6Mpg0humpHeBZpgHab3najnn0nhPozBjIrMgH~B~f2p0~kGoXi45V8iyf2jnaIC2x5muJwxb01hV0xGHMxQAzAHLt1PG6qYOOPtbvTb2YwJ2QFJPrFkcD9AV7pwH-jXdXNNvuIPw8Kv0a~sq9S95cz7PgDlhg8KZ0S~UWmCe4bYL43U3AhfTNf7oUFZrzcq49go~WXeU3eggzhFrIN7XKDCOaZglOKmKRfw9bEvOyojzCO0DDY~w3OmoKrLwYesPAZuPz-4NzO7gq7pPHm2RaOxKI68Plq69wktMI6PhV4C4BgnU9XA__	1	1	TMT128C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
PDC000124-Sample-6	Homo sapiens	not available	not available	not available	not available	not available	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	basal and luminal breast cancer	1	WHIM-P93	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/23/01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f01.raw?Expires=1686120783&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=dVtR3B741AcnP9ZTFIAYPGtiS3Qw0gcReii6Mpg0humpHeBZpgHab3najnn0nhPozBjIrMgH~B~f2p0~kGoXi45V8iyf2jnaIC2x5muJwxb01hV0xGHMxQAzAHLt1PG6qYOOPtbvTb2YwJ2QFJPrFkcD9AV7pwH-jXdXNNvuIPw8Kv0a~sq9S95cz7PgDlhg8KZ0S~UWmCe4bYL43U3AhfTNf7oUFZrzcq49go~WXeU3eggzhFrIN7XKDCOaZglOKmKRfw9bEvOyojzCO0DDY~w3OmoKrLwYesPAZuPz-4NzO7gq7pPHm2RaOxKI68Plq69wktMI6PhV4C4BgnU9XA__	1	1	TMT129N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
PDC000124-Sample-7	Homo sapiens	not available	not available	not available	not available	not available	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	basal and luminal breast cancer	1	WHIM-P93	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/23/01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f01.raw?Expires=1686120783&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=dVtR3B741AcnP9ZTFIAYPGtiS3Qw0gcReii6Mpg0humpHeBZpgHab3najnn0nhPozBjIrMgH~B~f2p0~kGoXi45V8iyf2jnaIC2x5muJwxb01hV0xGHMxQAzAHLt1PG6qYOOPtbvTb2YwJ2QFJPrFkcD9AV7pwH-jXdXNNvuIPw8Kv0a~sq9S95cz7PgDlhg8KZ0S~UWmCe4bYL43U3AhfTNf7oUFZrzcq49go~WXeU3eggzhFrIN7XKDCOaZglOKmKRfw9bEvOyojzCO0DDY~w3OmoKrLwYesPAZuPz-4NzO7gq7pPHm2RaOxKI68Plq69wktMI6PhV4C4BgnU9XA__	1	1	TMT129C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
PDC000124-Sample-8	Homo sapiens	not available	not available	not available	not available	not available	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	basal and luminal breast cancer	1	WHIM-P94	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/23/01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f01.raw?Expires=1686120783&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=dVtR3B741AcnP9ZTFIAYPGtiS3Qw0gcReii6Mpg0humpHeBZpgHab3najnn0nhPozBjIrMgH~B~f2p0~kGoXi45V8iyf2jnaIC2x5muJwxb01hV0xGHMxQAzAHLt1PG6qYOOPtbvTb2YwJ2QFJPrFkcD9AV7pwH-jXdXNNvuIPw8Kv0a~sq9S95cz7PgDlhg8KZ0S~UWmCe4bYL43U3AhfTNf7oUFZrzcq49go~WXeU3eggzhFrIN7XKDCOaZglOKmKRfw9bEvOyojzCO0DDY~w3OmoKrLwYesPAZuPz-4NzO7gq7pPHm2RaOxKI68Plq69wktMI6PhV4C4BgnU9XA__	1	1	TMT130N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
PDC000124-Sample-9	Homo sapiens	not available	not available	not available	not available	not available	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	basal and luminal breast cancer	1	WHIM-P93	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/23/01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f01.raw?Expires=1686120783&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=dVtR3B741AcnP9ZTFIAYPGtiS3Qw0gcReii6Mpg0humpHeBZpgHab3najnn0nhPozBjIrMgH~B~f2p0~kGoXi45V8iyf2jnaIC2x5muJwxb01hV0xGHMxQAzAHLt1PG6qYOOPtbvTb2YwJ2QFJPrFkcD9AV7pwH-jXdXNNvuIPw8Kv0a~sq9S95cz7PgDlhg8KZ0S~UWmCe4bYL43U3AhfTNf7oUFZrzcq49go~WXeU3eggzhFrIN7XKDCOaZglOKmKRfw9bEvOyojzCO0DDY~w3OmoKrLwYesPAZuPz-4NzO7gq7pPHm2RaOxKI68Plq69wktMI6PhV4C4BgnU9XA__	1	1	TMT130C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
PDC000124-Sample-10	Homo sapiens	not available	not available	not available	not available	not available	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	basal and luminal breast cancer	1	WHIM-P94	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/23/01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f01.raw?Expires=1686120783&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=dVtR3B741AcnP9ZTFIAYPGtiS3Qw0gcReii6Mpg0humpHeBZpgHab3najnn0nhPozBjIrMgH~B~f2p0~kGoXi45V8iyf2jnaIC2x5muJwxb01hV0xGHMxQAzAHLt1PG6qYOOPtbvTb2YwJ2QFJPrFkcD9AV7pwH-jXdXNNvuIPw8Kv0a~sq9S95cz7PgDlhg8KZ0S~UWmCe4bYL43U3AhfTNf7oUFZrzcq49go~WXeU3eggzhFrIN7XKDCOaZglOKmKRfw9bEvOyojzCO0DDY~w3OmoKrLwYesPAZuPz-4NzO7gq7pPHm2RaOxKI68Plq69wktMI6PhV4C4BgnU9XA__	1	1	TMT131	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
