source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	characteristics[xenograft]	characteristics[individual]	characteristics[enrichment process]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	factor value[disease]
PDC000154-Sample-1	Homo sapiens	not available	not available	not available	not available	not available	basal and luminal breast cancer	1	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	WHIM-P93	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_P93P94CompRef_W_BI_20180425_KR_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/32/01CPTAC_P93P94CompRef_W_BI_20180425_KR_f01.raw?Expires=1686033438&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=IhaEjlVLeeIIbQaYg0JIwW2-NsDNMZzu0BGHak9fu90FV2HfapejbJhCmoDT2o9uAjwyPkjChhVFXtzBd7GfhYsVGmKuNfQYUHu0tPuysHxYrNfP5IYAzsLPuoqQrR5g8OaJbf68oH-SQakW~Zt37l9SLmZATaYvqizIdSDda6MZQKD2Tlv-XYbiXdqFxzZ0KG97vMeZt2a~W3NO4dCC6bwy2qN1zzrRNRt-insWqNqd14eSe9ajXDGA09CXa~MmAdNRqsrIGdrge06caTEnLHFtd2TUaf7jIqZWcGGDzA4f43Vl9C~e2vnlN25hd-2vr9OcfVrGGsOSj5-GTA8OXw__	1	1	TMT126	NT=Q Exactive HF-X;AC=MS:1002877	NT=HCD;AC=PRIDE:0000590	31% NCE	20 ppm	20 ppm	"NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4"	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=Any N-term;AC=UNIMOD:26	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
PDC000154-Sample-2	Homo sapiens	not available	not available	not available	not available	not available	basal and luminal breast cancer	1	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	WHIM-P94	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_P93P94CompRef_W_BI_20180425_KR_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/32/01CPTAC_P93P94CompRef_W_BI_20180425_KR_f01.raw?Expires=1686033438&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=IhaEjlVLeeIIbQaYg0JIwW2-NsDNMZzu0BGHak9fu90FV2HfapejbJhCmoDT2o9uAjwyPkjChhVFXtzBd7GfhYsVGmKuNfQYUHu0tPuysHxYrNfP5IYAzsLPuoqQrR5g8OaJbf68oH-SQakW~Zt37l9SLmZATaYvqizIdSDda6MZQKD2Tlv-XYbiXdqFxzZ0KG97vMeZt2a~W3NO4dCC6bwy2qN1zzrRNRt-insWqNqd14eSe9ajXDGA09CXa~MmAdNRqsrIGdrge06caTEnLHFtd2TUaf7jIqZWcGGDzA4f43Vl9C~e2vnlN25hd-2vr9OcfVrGGsOSj5-GTA8OXw__	1	1	TMT127N	NT=Q Exactive HF-X;AC=MS:1002877	NT=HCD;AC=PRIDE:0000590	31% NCE	20 ppm	20 ppm	"NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4"	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=Any N-term;AC=UNIMOD:26	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
PDC000154-Sample-3	Homo sapiens	not available	not available	not available	not available	not available	basal and luminal breast cancer	1	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	WHIM-P93	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_P93P94CompRef_W_BI_20180425_KR_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/32/01CPTAC_P93P94CompRef_W_BI_20180425_KR_f01.raw?Expires=1686033438&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=IhaEjlVLeeIIbQaYg0JIwW2-NsDNMZzu0BGHak9fu90FV2HfapejbJhCmoDT2o9uAjwyPkjChhVFXtzBd7GfhYsVGmKuNfQYUHu0tPuysHxYrNfP5IYAzsLPuoqQrR5g8OaJbf68oH-SQakW~Zt37l9SLmZATaYvqizIdSDda6MZQKD2Tlv-XYbiXdqFxzZ0KG97vMeZt2a~W3NO4dCC6bwy2qN1zzrRNRt-insWqNqd14eSe9ajXDGA09CXa~MmAdNRqsrIGdrge06caTEnLHFtd2TUaf7jIqZWcGGDzA4f43Vl9C~e2vnlN25hd-2vr9OcfVrGGsOSj5-GTA8OXw__	1	1	TMT127C	NT=Q Exactive HF-X;AC=MS:1002877	NT=HCD;AC=PRIDE:0000590	31% NCE	20 ppm	20 ppm	"NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4"	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=Any N-term;AC=UNIMOD:26	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
PDC000154-Sample-4	Homo sapiens	not available	not available	not available	not available	not available	basal and luminal breast cancer	1	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	WHIM-P93	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_P93P94CompRef_W_BI_20180425_KR_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/32/01CPTAC_P93P94CompRef_W_BI_20180425_KR_f01.raw?Expires=1686033438&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=IhaEjlVLeeIIbQaYg0JIwW2-NsDNMZzu0BGHak9fu90FV2HfapejbJhCmoDT2o9uAjwyPkjChhVFXtzBd7GfhYsVGmKuNfQYUHu0tPuysHxYrNfP5IYAzsLPuoqQrR5g8OaJbf68oH-SQakW~Zt37l9SLmZATaYvqizIdSDda6MZQKD2Tlv-XYbiXdqFxzZ0KG97vMeZt2a~W3NO4dCC6bwy2qN1zzrRNRt-insWqNqd14eSe9ajXDGA09CXa~MmAdNRqsrIGdrge06caTEnLHFtd2TUaf7jIqZWcGGDzA4f43Vl9C~e2vnlN25hd-2vr9OcfVrGGsOSj5-GTA8OXw__	1	1	TMT128N	NT=Q Exactive HF-X;AC=MS:1002877	NT=HCD;AC=PRIDE:0000590	31% NCE	20 ppm	20 ppm	"NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4"	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=Any N-term;AC=UNIMOD:26	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
PDC000154-Sample-5	Homo sapiens	not available	not available	not available	not available	not available	basal and luminal breast cancer	1	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	WHIM-P94	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_P93P94CompRef_W_BI_20180425_KR_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/32/01CPTAC_P93P94CompRef_W_BI_20180425_KR_f01.raw?Expires=1686033438&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=IhaEjlVLeeIIbQaYg0JIwW2-NsDNMZzu0BGHak9fu90FV2HfapejbJhCmoDT2o9uAjwyPkjChhVFXtzBd7GfhYsVGmKuNfQYUHu0tPuysHxYrNfP5IYAzsLPuoqQrR5g8OaJbf68oH-SQakW~Zt37l9SLmZATaYvqizIdSDda6MZQKD2Tlv-XYbiXdqFxzZ0KG97vMeZt2a~W3NO4dCC6bwy2qN1zzrRNRt-insWqNqd14eSe9ajXDGA09CXa~MmAdNRqsrIGdrge06caTEnLHFtd2TUaf7jIqZWcGGDzA4f43Vl9C~e2vnlN25hd-2vr9OcfVrGGsOSj5-GTA8OXw__	1	1	TMT128C	NT=Q Exactive HF-X;AC=MS:1002877	NT=HCD;AC=PRIDE:0000590	31% NCE	20 ppm	20 ppm	"NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4"	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=Any N-term;AC=UNIMOD:26	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
PDC000154-Sample-6	Homo sapiens	not available	not available	not available	not available	not available	basal and luminal breast cancer	1	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	WHIM-P93	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_P93P94CompRef_W_BI_20180425_KR_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/32/01CPTAC_P93P94CompRef_W_BI_20180425_KR_f01.raw?Expires=1686033438&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=IhaEjlVLeeIIbQaYg0JIwW2-NsDNMZzu0BGHak9fu90FV2HfapejbJhCmoDT2o9uAjwyPkjChhVFXtzBd7GfhYsVGmKuNfQYUHu0tPuysHxYrNfP5IYAzsLPuoqQrR5g8OaJbf68oH-SQakW~Zt37l9SLmZATaYvqizIdSDda6MZQKD2Tlv-XYbiXdqFxzZ0KG97vMeZt2a~W3NO4dCC6bwy2qN1zzrRNRt-insWqNqd14eSe9ajXDGA09CXa~MmAdNRqsrIGdrge06caTEnLHFtd2TUaf7jIqZWcGGDzA4f43Vl9C~e2vnlN25hd-2vr9OcfVrGGsOSj5-GTA8OXw__	1	1	TMT129N	NT=Q Exactive HF-X;AC=MS:1002877	NT=HCD;AC=PRIDE:0000590	31% NCE	20 ppm	20 ppm	"NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4"	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=Any N-term;AC=UNIMOD:26	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
PDC000154-Sample-7	Homo sapiens	not available	not available	not available	not available	not available	basal and luminal breast cancer	1	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	WHIM-P94	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_P93P94CompRef_W_BI_20180425_KR_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/32/01CPTAC_P93P94CompRef_W_BI_20180425_KR_f01.raw?Expires=1686033438&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=IhaEjlVLeeIIbQaYg0JIwW2-NsDNMZzu0BGHak9fu90FV2HfapejbJhCmoDT2o9uAjwyPkjChhVFXtzBd7GfhYsVGmKuNfQYUHu0tPuysHxYrNfP5IYAzsLPuoqQrR5g8OaJbf68oH-SQakW~Zt37l9SLmZATaYvqizIdSDda6MZQKD2Tlv-XYbiXdqFxzZ0KG97vMeZt2a~W3NO4dCC6bwy2qN1zzrRNRt-insWqNqd14eSe9ajXDGA09CXa~MmAdNRqsrIGdrge06caTEnLHFtd2TUaf7jIqZWcGGDzA4f43Vl9C~e2vnlN25hd-2vr9OcfVrGGsOSj5-GTA8OXw__	1	1	TMT129C	NT=Q Exactive HF-X;AC=MS:1002877	NT=HCD;AC=PRIDE:0000590	31% NCE	20 ppm	20 ppm	"NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4"	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=Any N-term;AC=UNIMOD:26	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
PDC000154-Sample-8	Homo sapiens	not available	not available	not available	not available	not available	basal and luminal breast cancer	1	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	WHIM-P94	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_P93P94CompRef_W_BI_20180425_KR_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/32/01CPTAC_P93P94CompRef_W_BI_20180425_KR_f01.raw?Expires=1686033438&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=IhaEjlVLeeIIbQaYg0JIwW2-NsDNMZzu0BGHak9fu90FV2HfapejbJhCmoDT2o9uAjwyPkjChhVFXtzBd7GfhYsVGmKuNfQYUHu0tPuysHxYrNfP5IYAzsLPuoqQrR5g8OaJbf68oH-SQakW~Zt37l9SLmZATaYvqizIdSDda6MZQKD2Tlv-XYbiXdqFxzZ0KG97vMeZt2a~W3NO4dCC6bwy2qN1zzrRNRt-insWqNqd14eSe9ajXDGA09CXa~MmAdNRqsrIGdrge06caTEnLHFtd2TUaf7jIqZWcGGDzA4f43Vl9C~e2vnlN25hd-2vr9OcfVrGGsOSj5-GTA8OXw__	1	1	TMT130N	NT=Q Exactive HF-X;AC=MS:1002877	NT=HCD;AC=PRIDE:0000590	31% NCE	20 ppm	20 ppm	"NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4"	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=Any N-term;AC=UNIMOD:26	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
PDC000154-Sample-9	Homo sapiens	not available	not available	not available	not available	not available	basal and luminal breast cancer	1	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	WHIM-P93	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_P93P94CompRef_W_BI_20180425_KR_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/32/01CPTAC_P93P94CompRef_W_BI_20180425_KR_f01.raw?Expires=1686033438&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=IhaEjlVLeeIIbQaYg0JIwW2-NsDNMZzu0BGHak9fu90FV2HfapejbJhCmoDT2o9uAjwyPkjChhVFXtzBd7GfhYsVGmKuNfQYUHu0tPuysHxYrNfP5IYAzsLPuoqQrR5g8OaJbf68oH-SQakW~Zt37l9SLmZATaYvqizIdSDda6MZQKD2Tlv-XYbiXdqFxzZ0KG97vMeZt2a~W3NO4dCC6bwy2qN1zzrRNRt-insWqNqd14eSe9ajXDGA09CXa~MmAdNRqsrIGdrge06caTEnLHFtd2TUaf7jIqZWcGGDzA4f43Vl9C~e2vnlN25hd-2vr9OcfVrGGsOSj5-GTA8OXw__	1	1	TMT130C	NT=Q Exactive HF-X;AC=MS:1002877	NT=HCD;AC=PRIDE:0000590	31% NCE	20 ppm	20 ppm	"NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4"	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=Any N-term;AC=UNIMOD:26	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
PDC000154-Sample-10	Homo sapiens	not available	not available	not available	not available	not available	basal and luminal breast cancer	1	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	WHIM-P94	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_P93P94CompRef_W_BI_20180425_KR_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/32/01CPTAC_P93P94CompRef_W_BI_20180425_KR_f01.raw?Expires=1686033438&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=IhaEjlVLeeIIbQaYg0JIwW2-NsDNMZzu0BGHak9fu90FV2HfapejbJhCmoDT2o9uAjwyPkjChhVFXtzBd7GfhYsVGmKuNfQYUHu0tPuysHxYrNfP5IYAzsLPuoqQrR5g8OaJbf68oH-SQakW~Zt37l9SLmZATaYvqizIdSDda6MZQKD2Tlv-XYbiXdqFxzZ0KG97vMeZt2a~W3NO4dCC6bwy2qN1zzrRNRt-insWqNqd14eSe9ajXDGA09CXa~MmAdNRqsrIGdrge06caTEnLHFtd2TUaf7jIqZWcGGDzA4f43Vl9C~e2vnlN25hd-2vr9OcfVrGGsOSj5-GTA8OXw__	1	1	TMT131	NT=Q Exactive HF-X;AC=MS:1002877	NT=HCD;AC=PRIDE:0000590	31% NCE	20 ppm	20 ppm	"NT=Carbamidomethyl;MT=Fixed;TA=C,U;AC=UNIMOD:4"	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=Any N-term;AC=UNIMOD:26	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
