File ID,File Name,Run Metadata ID,Study Name,PDC Study ID,PDC Study Version,Study ID,Project Name,Data Category,File Type,Access,File Size (in bytes),Md5sum,Downloadable,File Download Link
"0062eb52-fdd2-11ea-bc0e-0aad30af8a83","PDAC_055193_T10_GB_100ug_FN13_C1_180min_030718.raw","KU PDAC Discovery Study - Global proteome-17","KU PDAC Discovery Study - Global proteome","PDC000248","1","4f354c22-0421-11eb-bc0e-0aad30af8a83","Proteogenomics Analysis to Develop Precision Medicine for Treatment-Resistant Pancreatic Cancer","Raw Mass Spectra","Proprietary","Open","3205419939","399735c478e0b1f45b445891de581024","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/71/82/PDAC_055193_T10_GB_100ug_FN13_C1_180min_030718.raw?Expires=1685858995&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=dU-88Q89~iVyemEmPcvROz4apHmKNNighzOgSzUlPyLjD0HrOeccnJPHzLNq0pxqUdqdUCyhBRUkNXkwnxJ-ByAqjzE9~rOblMKl4hRZuTpS1eOZbgnhD0k14DPDdeM-4pQTZIMOOFWI45IuLQZ7fblrf~5xoBqH7DTBXW9G~nOn0XnFJ3mgtS9hdTs6GSOhiHtrU1LVdsQ~aW-cNIrFchoSYD8HoWmDmBV36m6fYqAae7Y7qUGxynf85xkSkB~W6DgsXE8TiaxYhxs1XpFSW-wjOsdeZyct1Acgv0iIx7l2STIbngzV65prJZ33N2a~J9Z1ucuonnvwdrQGQYeKpw__"
"0095dabd-fdd5-11ea-bc0e-0aad30af8a83","PDAC_116138_T10_GB_100ug_FN03_C1_180min_121318.raw","KU PDAC Discovery Study - Global proteome-4","KU PDAC Discovery Study - Global proteome","PDC000248","1","4f354c22-0421-11eb-bc0e-0aad30af8a83","Proteogenomics Analysis to Develop Precision Medicine for Treatment-Resistant Pancreatic Cancer","Raw Mass Spectra","Proprietary","Open","5445689914","7f044e3d3e3ec9f4be0f3e42df35ad6b","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/71/82/PDAC_116138_T10_GB_100ug_FN03_C1_180min_121318.raw?Expires=1685858995&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=YGGYypPYEYkWSQkvg3SWKT6J9Q9aeSrK3A0wgHsP6WevwDdQlNnMVJmLuJOyRZp6ICEzJqD14suCcxUBIU3ad7yh38xEjmZ7-QxVRdJAy8M674MNoXNgTBzwdDBCYsVku7w9O~CJlVSS6j5WXgO031iZswfT1fiqDiIq6dln1QRPgKcKXxQp1-TPvZuwi5QuBh39wXm8fAmIbqUG3xEZA7jJVwsMp1Zdn09kECyWgDVBRRyWS5nT3SW7iKp~JD5tJzwtqLz2m80oVg4HELofCL0F0Mr~qnUSD05O11sKYZftJndw6B9fjZVGoWhsVAqHa1qhGugQ-UtrtBK1en7tSA__"
"00c27d04-fdd2-11ea-bc0e-0aad30af8a83","PDAC_055193_T10_GB_100ug_FN14_C2_180min_030718.raw","KU PDAC Discovery Study - Global proteome-17","KU PDAC Discovery Study - Global proteome","PDC000248","1","4f354c22-0421-11eb-bc0e-0aad30af8a83","Proteogenomics Analysis to Develop Precision Medicine for Treatment-Resistant Pancreatic Cancer","Raw Mass Spectra","Proprietary","Open","3252672826","e7f76a3b60b5351b98244db4ecfa4b51","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/71/82/PDAC_055193_T10_GB_100ug_FN14_C2_180min_030718.raw?Expires=1685858995&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=bblV4VZTE4jzZEuheRAMpXbaw6DKHBA2Cv3h4IZbP00mVCtB8uqIz-9Txm69M9EsnPs0q-Zpd~mJ0g1~-56yzVUW63DvZl5ofumO5EQxIR3joPkcdIU3eBrYT92lWGreUH5uyo5LiMClCrr6FVj82r9bPzyf~6T8cYGPnd5HgUyFaKs2FbE6LBBfjy27W1-GeeCGyIn1lUU3R-RUfoO6r25FQXT2qRxGyS9xTa5QVbZOgRBjxr5gfOW5jYiYJvQQpvCLotEoeE0eBOsoHOADyy3u2IRBRy6QXZqxEoCXTVR~aXFa8YZP3bj7--a60zkUeb4LPPCIUYRcJ-rjVmBZaQ__"
"00c8e15e-fdd5-11ea-bc0e-0aad30af8a83","PDAC_116138_T10_GB_100ug_FN04_C2_180min_121318.raw","KU PDAC Discovery Study - Global proteome-4","KU PDAC Discovery Study - Global proteome","PDC000248","1","4f354c22-0421-11eb-bc0e-0aad30af8a83","Proteogenomics Analysis to Develop Precision Medicine for Treatment-Resistant Pancreatic Cancer","Raw Mass Spectra","Proprietary","Open","5641597510","12c44a801025c8ec6bda6f1893d88fb8","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/71/82/PDAC_116138_T10_GB_100ug_FN04_C2_180min_121318.raw?Expires=1685858995&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Ydy34U-gTX4~q~53M5EbJT0CnrFxYX9laQdnyPwh90uhWMheua-gBkc39-eqreJ35oR0oL6qNZ1zoyjQO5Xd~BPl7pq-PBtERF68ea4-7MNtsUF9zLnxwfqBcP0LDCqD0uC761C5alA8cmeNeGoGUrC90Wcnc1DeWIe0cuY4nNIQutbliot-GiBnmnQksrRkGJw58DP944bQSbamY25dzyGfvxaAjiIJ03vD-4XMuWpLrTNpDtJoyRAFihmF75pR-l72Yi-kh4kqz4AeBrTZ-3UbGSaKUKIRJieRRlf~0h~4l6kjxQxxeNoErdt2QoeqCOw3K4ru1LxCJ7gC6zBNCA__"
"00c98936-fdcf-11ea-bc0e-0aad30af8a83","PDAC_054199_T10_GB_100ug_FN11_C1_180min_010218.raw","KU PDAC Discovery Study - Global proteome-1","KU PDAC Discovery Study - Global proteome","PDC000248","1","4f354c22-0421-11eb-bc0e-0aad30af8a83","Proteogenomics Analysis to Develop Precision Medicine for Treatment-Resistant Pancreatic Cancer","Raw Mass Spectra","Proprietary","Open","4286932140","3af43fadcd1265e2ee6860ff5eab83c9","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/71/82/PDAC_054199_T10_GB_100ug_FN11_C1_180min_010218.raw?Expires=1685858995&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=d6QXOMoGyuBFfWr7RM2NUhY4ZRi20~zqfS1oO4gyr-lTYCuo8tj0dJS1WLrJd8phyBZiSDidPwrI7Rl7fwGHc76H0Bo7IBjrB~jTNcR0~y1Cis623pBm91o0cWB3TJIEwauUwXYAzDzkV0pRHFKyVoTf9-vLRm4f2qCngbTUDPk0RVZF1GJTGY7XNNErm11zVM8W7UCiU9EJjQh~Okq5MNaBMNh7hg3p0K2HjpHj8GTU1QUrAflIQuFKFSSD4OTxzsfoZTyE2yagqCacYRqxgxsipqLeeSU1ZbdC5Ai2e5cwBMC04Ca7twjbl2PO-f8jmmBEEVG2IedFEhnZgqIWKw__"
"00f5589a-fdd5-11ea-bc0e-0aad30af8a83","PDAC_116138_T10_GB_100ug_FN05_C1_180min_121318.raw","KU PDAC Discovery Study - Global proteome-4","KU PDAC Discovery Study - Global proteome","PDC000248","1","4f354c22-0421-11eb-bc0e-0aad30af8a83","Proteogenomics Analysis to Develop Precision Medicine for Treatment-Resistant Pancreatic Cancer","Raw Mass Spectra","Proprietary","Open","5477448435","b1e3200631d026e7c3ee273e07593ab6","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/71/82/PDAC_116138_T10_GB_100ug_FN05_C1_180min_121318.raw?Expires=1685858995&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=QN-kxf6M2KeUWh8raPh6qHWinnKI0Pi9XmvLZZ4~N1KQebCf6jn2bFAbfL2mJURsXlTwRW12oxywVUW5bJU7wpvwE3SXZMXRRmUavHZKbfrU89AqpYCeYH~dlc7JxvrkAZO0tx1lXXnJ2simM92ao4MT~TBW0MqXR2-1uyPPO1bvqfFFDas8ITcPihsmsWHfOzZ0gNLceX6NtNRrJHDlVa529cscSsFGeTuzRGQ8AKLV3wSrWQWRkFuJ2v6Vl2XeQK1ZcT6LfcFT7g23hF6HE-CmfMBUx4uLIXmv5-qNnmaKrd7bTUEGCm7~URM4yMw-rxLeNhEq3nCQbkrSwSUAAQ__"
"01dc07e9-fdd0-11ea-bc0e-0aad30af8a83","PDAC_005137_T10_GB_100ug_FN11_C1_180min_011018.raw","KU PDAC Discovery Study - Global proteome-9","KU PDAC Discovery Study - Global proteome","PDC000248","1","4f354c22-0421-11eb-bc0e-0aad30af8a83","Proteogenomics Analysis to Develop Precision Medicine for Treatment-Resistant Pancreatic Cancer","Raw Mass Spectra","Proprietary","Open","4787428231","1099c02fa72799713d554b857f554767","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/71/82/PDAC_005137_T10_GB_100ug_FN11_C1_180min_011018.raw?Expires=1685858994&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=fG~2YaXh3Cjtl7G2cq7dhAx9VqIGsLlqDy8L5dQIja7EanooshXwhnIdUnpLIkLoM2Vwg8qSyCd8zwfTPTox3bwv1O2nFK9sfCdlsVIySxzNNM7vcL3Tlu6btuwG6NP0p6sTiHs5uvEUaYt1dliJ0tb6ELYwtzgxfyUVJHFN-szxAOXazNrEeeroRvomR0LrJJS5VivTLK-dtcrzjW4bwP-SpfhzG2QQVxGQBWdvBz4pCkqSIfqD5Biwc5ddTrs9P3LOckVJI-ur9XuBAiIoSrf8AI6B1srkKOo354p~b2VXfrrUR5hpWXYO8N11D2ZiX5mWDhRD-kXwau-8AfBV3Q__"
"01f8626e-fdd1-11ea-bc0e-0aad30af8a83","PDAC_074013_T10_GB_100ug_FN03_C1_180min_032518.raw","KU PDAC Discovery Study - Global proteome-8","KU PDAC Discovery Study - Global proteome","PDC000248","1","4f354c22-0421-11eb-bc0e-0aad30af8a83","Proteogenomics Analysis to Develop Precision Medicine for Treatment-Resistant Pancreatic Cancer","Raw Mass Spectra","Proprietary","Open","3621552979","ce97958a38efc816fd4dcd0ef7cd9ea6","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/71/82/PDAC_074013_T10_GB_100ug_FN03_C1_180min_032518.raw?Expires=1685858995&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=aFZXpyJZoPJgGDhKyHYaGkPfhTtkP35udZKhZhVGzEez7IkLARyyAYM~GX8BKhKVxvhP0hQEPNCKF4NwbvKg1RWrh0LcVmxPtYMHTnFEGZZ4ERls4wPOec4TMk2CykPSsA5T5wGDyZ7CyBS5tO58dAkQPhQcn7XNHIc-zQ92LYatXU6CmXSZX0VlQk8CbnRJ8~oyQ7QqOHEzlTpEgjwIgHiM7s4lz~FFEvxTLvUQA1DAukj1a0j1~s1mmo1dST1ALBsgoMomPbPdfMEyZRCcMxQ4urb76P9J~YlfeUPLt7HNQeB-LoPf2QdG0zWTmx0LWmcUsjQbv6~VuHmQDgl6uA__"
"02131827-fdd1-11ea-bc0e-0aad30af8a83","PDAC_074013_T10_GB_100ug_FN04_C2_180min_032518.raw","KU PDAC Discovery Study - Global proteome-8","KU PDAC Discovery Study - Global proteome","PDC000248","1","4f354c22-0421-11eb-bc0e-0aad30af8a83","Proteogenomics Analysis to Develop Precision Medicine for Treatment-Resistant Pancreatic Cancer","Raw Mass Spectra","Proprietary","Open","3242706780","0bf9764046f321a2c3b7f84a4460a82d","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/71/82/PDAC_074013_T10_GB_100ug_FN04_C2_180min_032518.raw?Expires=1685858995&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Du6izLfRNa3WI0A0AXpRkyfOgi4-gwiFurU-GULqla6cLdG8tlxg-vNolqm7gjWdTH1pvaV2ExciqRZyhi0Xl7L9wpazuXKeiN6G86I0BkEeac~xGH~zXyvSZFkoJvmISxaDQVcJJBiv-cL8gSMiuhr~3c6HBKcAlXJx-SUrLit0yyJ7xiMUtkHTDXo9aDH-0xvndxesEDA6MywVWoK3BtfOiRdZuqe8U9j7owwzoJFnLwAWBl2JSMD21vAGkqz9h6kExK2ND222QjvV4KLQw3Rz-HDeSY9~AqBSXYwi7QFdAnD0cB2S49tHtqUxvTzXiA0h3JiJdjG7Xy9u~6nFpQ__"
"02ed2edd-fdd1-11ea-bc0e-0aad30af8a83","PDAC_074013_T10_GB_100ug_FN05_C1_180min_032518.raw","KU PDAC Discovery Study - Global proteome-8","KU PDAC Discovery Study - Global proteome","PDC000248","1","4f354c22-0421-11eb-bc0e-0aad30af8a83","Proteogenomics Analysis to Develop Precision Medicine for Treatment-Resistant Pancreatic Cancer","Raw Mass Spectra","Proprietary","Open","3682923043","de6708f1898c2f519d9384195186754d","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/71/82/PDAC_074013_T10_GB_100ug_FN05_C1_180min_032518.raw?Expires=1685858995&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=MvChYQYyW5VcdG4oSPhddYH4mT1-AfuF60wtT49HTjNsHiqSpkqupuGPKdlWiFbnVPjud1eeZ5fnyxKcyBPA7427wcYf4m8XpQ7iVztF4A~5jeStsSHcsaBWxDwIsm7yoqUy-bB-NrrIzXsZ9CAKawejgo65oJKn3k1q5O1vIio-dhyNIxuHHwlTodRYN5BBvwDC-OSKvYS-tBkJDhh35iopj~ULqLFeLciYF-g1h0N~8w0-FUyGy~xUxFH1vQWJR8IUjZ8SXRXsDpeC496qmfiLwopxzF89j-Lgy5m-6ksWnXVda3cs0ATnX2Qa~GWRXOKY7UUUCtDRAxsAu-qeJg__"
