cell line	synonyms
SNU-61	SNU61
OVCAR-5	OV_OVCAR5
Mesobank_CellLine-34	Mesobank_CellLine-34
MHCC97-H	MHCC97H
HCT 15	HCT15;CO_HCT15
Mesobank_CellLine-23T	Mesobank_CellLine-23T
NCI-ADR-RES	OV_NCIADRRES
EKVX	LC_EKVX
SNB-19	CNS_SNB19
NCI-H23	LC_NCIH23
SW620	CO_SW620
COLO 205	COLO205
Mesobank_CellLine-24	Mesobank_CellLine-24
U-251MG	CNS_U251
SNB-75	CNS_SNB75
IGROV-1	OV_IGROV1
OVCAR-3	NIH:OVCAR-3
KP363T	KP-363T
NCI-ADR-RES	MCF7AdrR
NCI-ADR-RES	MCF7/AdrR
SF295	SF-295
LNCaP	LanCap;LnCap
U2OS	U205;U-2 OS
MDA-MB-453	MDAMB453
HT29	CO_HT29
COR-L105	CORL105
BT-549	BR_BT549
OCI-AML-4	OCI-AML4
NZM003	NZM3
RPMI-8226	LE_RPMI8226
Mesobank_CellLine-12	Mesobank_CellLine-12
KM12	CO_KM12
MHCC97-L	MHCC97L
Mesobank_CellLine-2	Mesobank_CellLine-2
DU145	PR_DU145
Mesobank_CellLine-14T	Mesobank_CellLine-14T
UACC-257	ME_UACC257
Shmac 4	Shmac-4
LOX-IMVI	ME_LOXIMVI
NCI-H522	LC_NCIH522
HL-60	LE_HL60
MDA-MB-231	MDAMB231
SK-MEL-28	ME_SKMEL28
PC-3	PC3
TE-14	TE14
Mesobank_CellLine-40	Mesobank_CellLine-40
SW480	SW-480
HCT 116	CO_HCT116
AsPC-1	AspC1
HCC1833	HCC-1833
Mesobank_CellLine-45	Mesobank_CellLine-45
OVCAR-3	OVCAR3
Mesobank_CellLine-36	Mesobank_CellLine-36
SF539	CNS_SF539
SF268	CNS_SF268
NCI-H1568	CNI-H1568
Mesobank_CellLine-3T	Mesobank_CellLine-3T
Malme-3M	Malme3M;ME_MALME3M
SK-MEL-2	ME_SKMEL2
HOP-92	HOP92
UO-31	RE_UO31
RPMI-8226	RPMI 8226
MDA-MB-468	BR_MDAMB468
COLO 678	COLO678
SW1573	SW 1573
HOP-62	LC_HOP62
M14	ME_M14
JVE253	JVE-253
TK-10	RE_TK10;TK10
NCI-H1573	NCIH1573
HEK293	HEK293
OVCAR-8	OVCAR8
