cellosaurus name	synonyms
SNU-61	SNU61
OVCAR-5	OV_OVCAR5
Meso34	Mesobank_CellLine-34
MHCC-97H	MHCC97H
HCT-15	HCT15
Mesobank_CellLine-23T	Mesobank_CellLine-23T
OVCAR-3	OV_NCIADRRES
HCCLM3	HCCLM3
EKVX	LC_EKVX
SNB-19	CNS_SNB19
NCI-H23	LC_NCIH23
SW620	CO_SW620
COLO 205	 COLO205
Mesobank_CellLine-24	Mesobank_CellLine-24
U-251 MG	CNS_U251
SNB-75	CNS_SNB75
IGROV1	OV_IGROV1
OVCAR-3	NIH:OVCAR-3
KP-363	KP-363T
MCF-7/ADR	MCF7AdrR
MCF-7/ADR	MCF7/AdrR
SF-295	SF-295
LNCaP	LanCap
U-2 OS	U205
MDA-MB-453	MDAMB453
HT-29	CO_HT29
COR-L105	 CORL105
BT-549  BR_BT549
OCI-AML4	OCI-AML4
NZM3	 NZM3
RPMI-8226	LE_RPMI8226
Mesobank_CellLine-12	Mesobank_CellLine-12
KM-12	CO_KM12
MHCC-97L	 MHCC97L
Mesobank_CellLine-2	 Mesobank_CellLine-2
DU-145  PR_DU145
Mesobank_CellLine-14T	Mesobank_CellLine-14T
UACC-257	ME_UACC257
SMMC-7721	Shmac-4
LOX IMVI	ME_LOXIMVI
NCI-H522	LC_NCIH522
HL-60	LE_HL60
MDA-MB-231	MDAMB231
LNCaP	LnCap
SK-MEL-28	ME_SKMEL28
PC-3	PC3
TE-14	TE14
Mesobank_CellLine-40	Mesobank_CellLine-40
SW-480	SW-480
HCT-116	CO_HCT116
AsPC-1	AspC1
HCC-1833	HCC-1833
Mesobank_CellLine-45	Mesobank_CellLine-45
OVCAR-3	OVCAR3
HCC-56	HCC-56
Mesobank_CellLine-36	Mesobank_CellLine-36
SF-539	CNS_SF539
SF-268	CNS_SF268
H1568	CNI-H1568
Mesobank_CellLine-3T	Mesobank_CellLine-3T
MALME-3M	Malme3M
SK-MEL-2	ME_SKMEL2
HOP-92	HOP92
UO-31	RE_UO31
RPMI-8226	RPMI 8226
U-2 OS	U-2 OS
MDA-MB-468	BR_MDAMB468
MALME-3M	ME_MALME3M
COLO 678	COLO678
HCT-15	CO_HCT15
SW-1573	SW 1573
HOP-62	LC_HOP62
M14	ME_M14
JVE-253	JVE-253
TK-10	RE_TK10
NCI-H1573	NCIH1573
HEK-293	HEK293
OVCAR-8	OVCAR8
