cell line	cellosaurus name	cellosaurus accession	bto cell line	organism	organism part	sampling site	age	developmental stage	sex	ancestry category	disease	cell type	Material type	synonyms	curated
MGH358	no available	no available	no available	Homo Sapiens	Breast	Breast	no available	Adult	Female	no available	Breast Cancer	epithelial	cell	MGH358	curated
MGH312	no available	no available	no available	Homo Sapiens	Breast	Liver	no available	Adult	Female	no available	Breast Cancer	epithelial	cell	MGH312	curated
hTERT-HME1	hTERT-HME1	CVCL_3383	no available	Homo Sapiens	Breast	Breast	53Y	Adult	Female	no available	Non-cancerous	epithelial	cell	hTERT-HME-1; hTERTHME1; HME-1; HME1; ME16C; hME1	curated
PDX1206	no available	no available	no available	Homo Sapiens	Breast	Breat	no available	no available	Female	no available	Breast Cancer	epithelial	cell	PDX1206	curated
PDX1258	no available	no available	no available	Homo Sapiens	Breast	Breat	no available	no available	Female	no available	Metaplastic triple negative breast cancer	epithelial	cell	PDX1258	curated
PDXHCI002	no available	no available	no available	Homo Sapiens	Breast	Breat	no available	no available	Female	no available	Invasive ductal carcinoma	epithelial	cell	PDXHCI002	curated
HL-60	HL-60	CVCL_0002	HL-60 cell	Homo Sapiens	Blood	Peripheral blood	36Y	Adult	Female	Caucasian	Acute myeloid leukemia	no available	cell	HL60; NAN; HL 60; HL60 CELL; HL.60; HUMAN LEUKEMIA-60	curated
K-562	K-562	CVCL_0004	K-562 cell	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion	53Y	Adult	Female	Caucasian	 bcr-abl1 positive; Chronic myelogenous leukemia	no available	cell	GM05372E; K562WT CELL; K562; K562 CELL; K 562; KO; K562S CELL; GM05372; K-562/S CELL; K.562	curated
NB4	NB4	CVCL_0005	NB-4 cell	Homo Sapiens	Bone Marrow	Bone marrow	23Y	Adult	Female	Caucasian	Acute myeloid leukemia	no available	cell	NB4 CELL; NB-4; NB.4	curated
THP-1	THP-1	CVCL_0006	THP-1 cell	Homo Sapiens	Blood	Peripheral blood	1Y	Infant	Male	Japanese	Childhood acute megakaryoblastic leukemia	no available	cell	O-THP-1; THP-1-O; NAN; THP-1(ATCC); TOHOKU HOSPITAL PEDIATRICS-1; THP1 CELL; THPI; THP1; THP 1	curated
U-937	U-937	CVCL_0007	U-937 cell	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion	37Y	Adult	Male	Caucasian	Adult acute monocytic leukemia	no available	cell	U937; U937 CELL; U 937	curated
Daudi	Daudi	CVCL_0008	DAUDI cell	Homo Sapiens	Blood	Peripheral blood	16Y	Juvenile	Male	African; Kenyan	Burkitt lymphoma	B cell	cell	NAN; N; DAUDI; NK-10A; GM03190; GM17346; GM3190; GM03190A; NK10A; NK 10A	curated
HDLM-2	HDLM-2	CVCL_0009	no available	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion	74Y	Elderly	Male	Caucasian	Hodgkins lymphoma	no available	cell	HD-LM-2; HDLM2	curated
LP-1	LP-1	CVCL_0012	LP-1 cell	Homo Sapiens	Blood	Peripheral blood	56Y	Adult	Female	Caucasian	Plasma cell myeloma	no available	cell	LP1 CELL; LP1	curated
MOLT-4	MOLT-4	CVCL_0013	MOLT-4 cell	Homo Sapiens	Blood	Peripheral blood	19Y	Adult	Male	Caucasian	Adult t acute lymphoblastic leukemia	T cell	cell	MOLT4 CELL; MOLT4; MOLT-4; GM02219; MOLT 4; GM2219C; GM02219C; MOLT.4; GM02219D	curated
U-698-M	U-698-M	CVCL_0017	no available	Homo Sapiens	Haematopoietic and Lymphoid	Tonsil	7Y	Children	Male	Caucasian	Lymphoblastic lymphoma	B cell	cell	U-698M; U698; U698-M; U-698; U-698 M; U698M	curated
D-341MED	D341 Med	CVCL_0018	no available	Homo Sapiens	Brain	Cerebellum	3Y	Children	Male	Caucasian	Medulloblastoma non-wnt/non-shh group 3	no available	cell	D341; D-341MED; D-341 MED; D341_MED; D341MD; D-341; D-341 MED-C; H341; MED 341; D341MED	curated
SH-SY5Y	SH-SY5Y	CVCL_0019	SH-SY5Y cell	Homo Sapiens	Peripheral Nervous System	Bone marrow	4Y	Children	Female	Caucasian	Neuroblastoma	no available	cell	SK-SH-SY5Y CELL; SH-SY5Y; SY5Y CELL; SK-SH-SY5Y; SHSY5Y; NAN; SY5Y; SK-N-SH-SY5Y CELL; SHSY-5Y CELL; SHSY-5Y; SH-SY5Y PARENTAL	curated
U-138-MG	U-138MG	CVCL_0020	U-138MG cell	Homo Sapiens	Brain	Brain	47Y	Adult	Male	Caucasian	Glioblastoma	no available	cell	U138-MG; U-138 MG CELL; U-138-MG; U-138 MG; U-138 CELL; 138 MG; U138MG CELL; U138MG; 138MG; U 138 MG; U138	curated
U251	U-251MG	CVCL_0021	U-251MG cell	Homo Sapiens	Brain	Parietal lobe	75Y	Elderly	Male	Caucasian	Brain astrocytoma	no available	cell	U-251MG; U251-MG; 251MG; U251; U-251; 251 MG; U-251 MG CELL; U-251_MG; U-251 CELL; U-251 MG; 251 MG(6); U-251MG CELL; U251MG; U251 CELL; U251N; U251MG CELL; U-251-MG	curated
U-87-MG	U-87MG ATCC	CVCL_0022	U-87MG cell	Homo Sapiens	Brain	Brain	no available	no available	Male	Caucasian	Glioblastoma	no available	cell	U-87MG CELL; U-87MG ATCC; U-87MG; 87MG; U-87 CELL; U87; U-87 MG CELL; U87MG; U-87-MG; U-87; U-87-MG CELL; U87 CELL; U87-MG CELL; 87 MG; U87-MG; U87 MG; U87MG CELL; U-87 MG	curated
A549	A-549	CVCL_0023	A-549 cell	Homo Sapiens	Lung	Lung	58Y	Adult	Male	Caucasian	Lung adenocarcinoma	no available	cell	A549; A549 CELL; HA549; A549ATCC; NCI-A549; A549 ATCC; NCI-A549 CELL; A549/ATCC; A 549	curated
SCLC-21H	SCLC-21H	CVCL_0024	no available	Homo Sapiens	Lung	Pleural effusion	46Y	Adult	Male	Caucasian	Small cell lung carcinoma	no available	cell	SCLC21H	curated
Caco-2	Caco-2	CVCL_0025	CACO-2 cell	Homo Sapiens	Colon	Colon	72Y	Elderly	Male	Caucasian	Colon adenocarcinoma	no available	cell	CACO-2; CACO 2; CACO-2/ATCC; CACO2; CACO-II; CACO-2 CELL	curated
CAPAN-2	Capan-2	CVCL_0026	CAPAN-2 cell	Homo Sapiens	Pancreas	Pancreas	56Y	Adult	Male	Caucasian	Pancreatic ductal adenocarcinoma	no available	cell	CAPAN2; CAPAN 2; CAPAN-2	curated
