cell line	organism	organism part	disease	age	developmental stage	sex	ancestry category	synonyms
786-0	Homo sapiens	renal system	renal cell carcinoma	no available	no available	no available	no available	no available
A498	Homo sapiens	renal system	renal cell carcinoma; renal cancer	no available	no available	no available	no available	no available
A-549 cell	Homo sapiens	epithelium of bronchiole	lung adenocarcinoma	no available	no available	no available	no available	no available
ACHN	Homo sapiens	renal system	renal cell carcinoma; papillary renal cell carcinoma; renal cancer; renal adenocarcinoma	22 year	no available	male	no available	no available
BT549	Homo sapiens	breast; mammary gland	invasive ductal carcinoma; breast cancer; breast ductal adenocarcinoma	72	not available	not available; female	no available	
CCRFCEM	Homo sapiens	lymphatic part of lymphoid system	childhood T acute lymphoblastic leukemia; leukemia	no available	no available	no available	no available	no available
Caki1	Homo sapiens	renal system	renal cell carcinoma	no available	no available	no available	no available	no available
COLO205	Homo sapiens	colorectum	colorectal adenocarcinoma; colorectal cancer	no available	no available	no available	no available	no available
DU 145	Homo sapiens	prostate gland	prostate carcinoma	69 year	no available	male	no available	no available
EKVX	Homo sapiens	epithelium of bronchiole	lung adenocarcinoma; non-small cell lung carcinoma; lung cancer	not available	no available	not available	no available	no available
NCI-H226	Homo sapiens	pleura	Pleural Epithelioid Mesothelioma; small cell lung carcinoma; mesothelioma	not available	no available	male	no available	no available
NCI-H23	Homo sapiens	epithelium of bronchiole	lung adenocarcinoma; non-small cell lung carcinoma	51 year	no available	male	no available	no available
NCI-H322T	Homo sapiens	lung	lung adenocarcinoma; non-small cell lung carcinoma	not available	no available	not available	no available	no available
NCI-H460	Homo sapiens	lung	non-small cell lung adenocarcinoma; large cell lung carcinoma	not available	no available	male	no available	no available
NCI-H522	Homo sapiens	bronchiole	lung adenocarcinoma; non-small cell lung carcinoma	58 year	no available	male	no available	no available
HCC2998	Homo sapiens	colorectum	colorectal adenocarcinoma; colorectal cancer	no available	no available	male	no available	no available
HCT116	Homo sapiens	colonic mucosa; colon	colorectal adenocarcinoma; colorectal cancer; colon carcinoma	48	adult	male	no available	
HCT15	Homo sapiens	colorectum	colorectal adenocarcinoma; colorectal cancer; colon adenocarcinoma	no available	no available	no available	no available	no available
HL-60	Homo sapiens	bone marrow; blood	adult acute myeloid leukemia; leukemia; acute promyelocytic leukemia	not available; 36	adult	not available; female	no available	
HOP62	Homo sapiens	epithelium of bronchiole	lung adenocarcinoma; lung cancer	no available	no available	no available	no available	no available
HOP92	Homo sapiens	lung	non-small cell lung carcinoma; lung cancer	no available	no available	no available	no available	no available
HS578T	Homo sapiens	breast	invasive ductal carcinoma; breast cancer	no available	not available	not available	no available	no available
HT-29	Homo sapiens	rectum	rectosigmoid adenocarcinoma; colorectal adenocarcinoma; colon adenocarcinoma	not available	no available	female	no available	no available
IGROV-1	Homo sapiens	ovary	Ovarian Endometrioid Adenocarcinoma; ovarian carcinoma	47 year	adult	female	no available	no available
K562	Homo sapiens	blood; bone marrow	chronic myelogenous leukemia; leukemia	53	adult	female	no available	
KM12	Homo sapiens	colonic mucosa	colorectal adenocarcinoma; colon carcinoma; colorectal cancer	no available	no available	no available	no available	no available
