Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[sex]	Sample Characteristic Ontology Term[sex]	Sample Characteristic[metastasis site]	Sample Characteristic Ontology Term[metastasis site]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Factor Value[organism part]	Factor Value Ontology Term[organism part]	Factor Value[disease]	Factor Value Ontology Term[disease]	Analysed
ERR1000209	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SK-N-SH	http://www.ebi.ac.uk/efo/EFO_0003072	brain	http://purl.obolibrary.org/obo/UBERON_0000955	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	female	http://purl.obolibrary.org/obo/PATO_0000383	bone marrow	http://purl.obolibrary.org/obo/UBERON_0002371	SK-N-SH	http://www.ebi.ac.uk/efo/EFO_0003072	brain	http://purl.obolibrary.org/obo/UBERON_0000955	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	Yes
ERR1000210	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SLVL		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	diffuse large B cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	female	http://purl.obolibrary.org/obo/PATO_0000383			SLVL		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	diffuse large B cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	Yes
ERR1011787	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SN12C		kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	male	http://purl.obolibrary.org/obo/PATO_0000384			SN12C		kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	Yes
ERR1011788	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	WM35		skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	not available				WM35		skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	Yes
ERR1011789	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ARH-77		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	plasma cell leukemia	http://www.ebi.ac.uk/efo/EFO_0000200	female	http://purl.obolibrary.org/obo/PATO_0000383			ARH-77		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	plasma cell leukemia	http://www.ebi.ac.uk/efo/EFO_0000200	Yes
ERR1011790	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SUP-HD1		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	Hodgkins lymphoma	http://www.ebi.ac.uk/efo/EFO_0000183	male	http://purl.obolibrary.org/obo/PATO_0000384			SUP-HD1		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	Hodgkins lymphoma	http://www.ebi.ac.uk/efo/EFO_0000183	Yes
ERR1056388	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CAL-78	http://purl.obolibrary.org/obo/CLO_0002189	bone	http://purl.obolibrary.org/obo/UBERON_0002481	chondrosarcoma	http://www.ebi.ac.uk/efo/EFO_0000333	not available				CAL-78	http://purl.obolibrary.org/obo/CLO_0002189	bone	http://purl.obolibrary.org/obo/UBERON_0002481	chondrosarcoma	http://www.ebi.ac.uk/efo/EFO_0000333	Yes
ERR1056389	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	DND-41	http://www.ebi.ac.uk/efo/EFO_0007074	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000220	male	http://purl.obolibrary.org/obo/PATO_0000384			DND-41	http://www.ebi.ac.uk/efo/EFO_0007074	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000220	Yes
ERR1056390	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	DU-145	http://www.ebi.ac.uk/efo/EFO_0005441	prostate gland	http://purl.obolibrary.org/obo/UBERON_0002367	prostate adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000673	male	http://purl.obolibrary.org/obo/PATO_0000384			DU-145	http://www.ebi.ac.uk/efo/EFO_0005441	prostate gland	http://purl.obolibrary.org/obo/UBERON_0002367	prostate adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000673	Yes
ERR1056391	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	GCIY		stomach	http://purl.obolibrary.org/obo/UBERON_0000945	gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	female	http://purl.obolibrary.org/obo/PATO_0000383			GCIY		stomach	http://purl.obolibrary.org/obo/UBERON_0000945	gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	Yes
ERR1056392	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KARPAS-620	http://www.ebi.ac.uk/efo/EFO_0006449	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	plasma cell leukemia	http://www.ebi.ac.uk/efo/EFO_0000200	not available				KARPAS-620	http://www.ebi.ac.uk/efo/EFO_0006449	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	plasma cell leukemia	http://www.ebi.ac.uk/efo/EFO_0000200	Yes
ERR1056393	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KNS-62	http://www.ebi.ac.uk/efo/EFO_0006620	lung	http://purl.obolibrary.org/obo/UBERON_0002048	squamous cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000708	male	http://purl.obolibrary.org/obo/PATO_0000384			KNS-62	http://www.ebi.ac.uk/efo/EFO_0006620	lung	http://purl.obolibrary.org/obo/UBERON_0002048	squamous cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000708	Yes
ERR1056394	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MDA-MB-361	http://www.ebi.ac.uk/efo/EFO_0001211	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	female	http://purl.obolibrary.org/obo/PATO_0000383	brain	http://purl.obolibrary.org/obo/UBERON_0000955	MDA-MB-361	http://www.ebi.ac.uk/efo/EFO_0001211	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
ERR1056395	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	WSU-DLCL2	http://www.ebi.ac.uk/efo/EFO_0006775	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	diffuse large B cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	male	http://purl.obolibrary.org/obo/PATO_0000384			WSU-DLCL2	http://www.ebi.ac.uk/efo/EFO_0006775	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	diffuse large B cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	Yes
ERR1056396	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	YAPC	http://www.ebi.ac.uk/efo/EFO_0006778	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	pancreatic carcinoma	http://www.ebi.ac.uk/efo/EFO_0002618	male	http://purl.obolibrary.org/obo/PATO_0000384	peritoneum	http://purl.obolibrary.org/obo/UBERON_0002358	YAPC	http://www.ebi.ac.uk/efo/EFO_0006778	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	pancreatic carcinoma	http://www.ebi.ac.uk/efo/EFO_0002618	Yes
ERR1056397	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	YH-13		brain	http://purl.obolibrary.org/obo/UBERON_0000955	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	male	http://purl.obolibrary.org/obo/PATO_0000384			YH-13		brain	http://purl.obolibrary.org/obo/UBERON_0000955	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	Yes
