Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Analysed
ppb.iBAQ.C125PM_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colorectum	http://purl.obolibrary.org/obo/UBERON_0012652	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	C125PM		C125PM		Yes
ppb.iBAQ.C135_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colorectum	http://purl.obolibrary.org/obo/UBERON_0012652	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	C135		C135		Yes
ppb.iBAQ.C70_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	C70		C70		Yes
ppb.iBAQ.CACO2_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Caco-2	http://www.ebi.ac.uk/efo/EFO_0001099	Caco-2	http://www.ebi.ac.uk/efo/EFO_0001099	Yes
ppb.iBAQ.COLO.201_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	COLO201	http://www.ebi.ac.uk/efo/EFO_0002135	COLO201	http://www.ebi.ac.uk/efo/EFO_0002135	Yes
ppb.iBAQ.COLO.205_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	COLO205	http://www.ebi.ac.uk/efo/EFO_0003082	COLO205	http://www.ebi.ac.uk/efo/EFO_0003082	Yes
ppb.iBAQ.COLO.320_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colorectum	http://purl.obolibrary.org/obo/UBERON_0012652	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	COLO320	http://purl.obolibrary.org/obo/CLO_0002571	COLO320	http://purl.obolibrary.org/obo/CLO_0002571	Yes
ppb.iBAQ.DLD1_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	DiFi		DiFi		Yes
ppb.iBAQ.DiFi_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colorectum	http://purl.obolibrary.org/obo/UBERON_0012652	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	DLD1	http://www.ebi.ac.uk/efo/EFO_0006389	DLD1	http://www.ebi.ac.uk/efo/EFO_0006389	Yes
ppb.iBAQ.GEO_1_Wang	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colorectum	http://purl.obolibrary.org/obo/UBERON_0012652	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	GEO		GEO		Yes
