Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[sex]	Sample Characteristic Ontology Term[sex]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[disease staging]	Sample Characteristic Ontology Term[disease staging]	Sample Characteristic[individual]	Sample Characteristic Ontology Term[individual]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Factor Value[disease]	Factor Value Ontology Term[disease]	Analysed
ppb.iBAQ.BT.20_1_Lawrence	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	BT20	http://www.ebi.ac.uk/efo/EFO_0001092	not available		not available		not available		not available		invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	BT20	http://www.ebi.ac.uk/efo/EFO_0001092	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Yes
ppb.iBAQ.BT.20_1_Lawrence_LysC	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	BT20	http://www.ebi.ac.uk/efo/EFO_0001092	not available		not available		not available		not available		invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	BT20	http://www.ebi.ac.uk/efo/EFO_0001092	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Yes
ppb.iBAQ.BT.20_2_Lawrence	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	BT20	http://www.ebi.ac.uk/efo/EFO_0001092	not available		not available		not available		not available		invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	BT20	http://www.ebi.ac.uk/efo/EFO_0001092	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Yes
ppb.iBAQ.BT.20_2_Lawrence_LysC	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	BT20	http://www.ebi.ac.uk/efo/EFO_0001092	not available		not available		not available		not available		invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	BT20	http://www.ebi.ac.uk/efo/EFO_0001092	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Yes
ppb.iBAQ.BT.474_1_Lawrence	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	BT474	http://www.ebi.ac.uk/efo/EFO_0001093	not available		not available		not available		not available		invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	BT474	http://www.ebi.ac.uk/efo/EFO_0001093	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Yes
ppb.iBAQ.BT.474_1_Lawrence_LysC	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	BT474	http://www.ebi.ac.uk/efo/EFO_0001093	not available		not available		not available		not available		invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	BT474	http://www.ebi.ac.uk/efo/EFO_0001093	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Yes
ppb.iBAQ.BT.474_2_Lawrence	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	BT474	http://www.ebi.ac.uk/efo/EFO_0001093	not available		not available		not available		not available		invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	BT474	http://www.ebi.ac.uk/efo/EFO_0001093	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Yes
ppb.iBAQ.BT.474_2_Lawrence_LysC	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	BT474	http://www.ebi.ac.uk/efo/EFO_0001093	not available		not available		not available		not available		invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	BT474	http://www.ebi.ac.uk/efo/EFO_0001093	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Yes
ppb.iBAQ.BT.549_1_Lawrence	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	BT549	http://www.ebi.ac.uk/efo/EFO_0001096	not available		not available		not available		not available		invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	BT549	http://www.ebi.ac.uk/efo/EFO_0001096	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Yes
ppb.iBAQ.BT.549_1_Lawrence_LysC	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	BT549	http://www.ebi.ac.uk/efo/EFO_0001096	not available		not available		not available		not available		invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	BT549	http://www.ebi.ac.uk/efo/EFO_0001096	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Yes
