Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[fraction]	Sample Characteristic Ontology Term[fraction]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Factor Value[fraction]	Factor Value Ontology Term[fraction]	Analysed
ppb.iBAQ.786.O_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	renal system	http://purl.obolibrary.org/obo/UBERON_0001008	renal cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	786-0	http://www.ebi.ac.uk/efo/EFO_0005707	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	786-0	http://www.ebi.ac.uk/efo/EFO_0005707	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.A.498_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	renal system	http://purl.obolibrary.org/obo/UBERON_0001008	renal cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	A498	http://www.ebi.ac.uk/efo/EFO_0002105	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	A498	http://www.ebi.ac.uk/efo/EFO_0002105	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.A.549_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	epithelium of bronchiole	http://purl.obolibrary.org/obo/UBERON_0002051	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	A-549 cell	http://purl.obolibrary.org/obo/BTO_0000018	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	A-549 cell	http://purl.obolibrary.org/obo/BTO_0000018	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.ACHN_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	renal system	http://purl.obolibrary.org/obo/UBERON_0001008	renal cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	ACHN	http://www.ebi.ac.uk/efo/EFO_0002108	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	ACHN	http://www.ebi.ac.uk/efo/EFO_0002108	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.BT.549_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	BT549	http://www.ebi.ac.uk/efo/EFO_0001096	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	BT549	http://www.ebi.ac.uk/efo/EFO_0001096	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.CCRF.CEM_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	lymphatic part of lymphoid system	http://purl.obolibrary.org/obo/UBERON_0006558	childhood T acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001947	CCRFCEM	http://www.ebi.ac.uk/efo/EFO_0002128	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	CCRFCEM	http://www.ebi.ac.uk/efo/EFO_0002128	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.Caki.1_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	renal system	http://purl.obolibrary.org/obo/UBERON_0001008	renal cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	Caki1	http://www.ebi.ac.uk/efo/EFO_0002149	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Caki1	http://www.ebi.ac.uk/efo/EFO_0002149	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.Colo.205_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colorectum	http://purl.obolibrary.org/obo/UBERON_0012652	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	COLO205	http://www.ebi.ac.uk/efo/EFO_0003082	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	COLO205	http://www.ebi.ac.uk/efo/EFO_0003082	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.DU145_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate gland	http://purl.obolibrary.org/obo/UBERON_0002367	prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	DU 145	http://www.ebi.ac.uk/efo/EFO_0005441	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	DU 145	http://www.ebi.ac.uk/efo/EFO_0005441	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.EKVX_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	epithelium of bronchiole	http://purl.obolibrary.org/obo/UBERON_0002051	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	EKVX	http://www.ebi.ac.uk/efo/EFO_0006786	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	EKVX	http://www.ebi.ac.uk/efo/EFO_0006786	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.H226_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	pleura	http://purl.obolibrary.org/obo/UBERON_0000977	Pleural Epithelioid Mesothelioma	http://www.ebi.ac.uk/efo/EFO_1000484	NCI-H226	http://www.ebi.ac.uk/efo/EFO_0002285	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	NCI-H226	http://www.ebi.ac.uk/efo/EFO_0002285	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.H23_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	epithelium of bronchiole	http://purl.obolibrary.org/obo/UBERON_0002051	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	NCI-H23	http://www.ebi.ac.uk/efo/EFO_0002286	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	NCI-H23	http://www.ebi.ac.uk/efo/EFO_0002286	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.H322_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	NCI-H322T	http://www.ebi.ac.uk/efo/EFO_0006691	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	NCI-H322T	http://www.ebi.ac.uk/efo/EFO_0006691	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.H460_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	lung	http://purl.obolibrary.org/obo/UBERON_0002048	non-small cell lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005288	NCI-H460	http://www.ebi.ac.uk/efo/EFO_0003044	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	NCI-H460	http://www.ebi.ac.uk/efo/EFO_0003044	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.H460_1_Gholami_deepProteome	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	lung	http://purl.obolibrary.org/obo/UBERON_0002048	non-small cell lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005288	NCI-H460	http://www.ebi.ac.uk/efo/EFO_0003044	deep proteome		NCI-H460	http://www.ebi.ac.uk/efo/EFO_0003044	deep proteome		Yes
ppb.iBAQ.H522_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	bronchiole	http://purl.obolibrary.org/obo/UBERON_0002186	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	NCI-H522	http://www.ebi.ac.uk/efo/EFO_0002295	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	NCI-H522	http://www.ebi.ac.uk/efo/EFO_0002295	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.HCC2998_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colorectum	http://purl.obolibrary.org/obo/UBERON_0012652	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	HCC2998	http://www.ebi.ac.uk/efo/EFO_0005370	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	HCC2998	http://www.ebi.ac.uk/efo/EFO_0005370	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.HCT116_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colonic mucosa	http://purl.obolibrary.org/obo/UBERON_0000317	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	HCT116	http://www.ebi.ac.uk/efo/EFO_0002824	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	HCT116	http://www.ebi.ac.uk/efo/EFO_0002824	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.HCT15_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colorectum	http://purl.obolibrary.org/obo/UBERON_0012652	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	HCT15	http://www.ebi.ac.uk/efo/EFO_0002188	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	HCT15	http://www.ebi.ac.uk/efo/EFO_0002188	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.HL60_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	bone marrow	http://purl.obolibrary.org/obo/UBERON_0002371	adult acute myeloid leukemia	http://www.ebi.ac.uk/efo/EFO_1001934	HL-60	http://www.ebi.ac.uk/efo/EFO_0002793	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	HL-60	http://www.ebi.ac.uk/efo/EFO_0002793	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.HOP62_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	epithelium of bronchiole	http://purl.obolibrary.org/obo/UBERON_0002051	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	HOP62	http://www.ebi.ac.uk/efo/EFO_0006439	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	HOP62	http://www.ebi.ac.uk/efo/EFO_0006439	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.HOP92_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	lung	http://purl.obolibrary.org/obo/UBERON_0002048	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	HOP92	http://www.ebi.ac.uk/efo/EFO_0006440	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	HOP92	http://www.ebi.ac.uk/efo/EFO_0006440	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.HS578T_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	HS578T	http://www.ebi.ac.uk/efo/EFO_0001192	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	HS578T	http://www.ebi.ac.uk/efo/EFO_0001192	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.HT29_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	rectum	http://purl.obolibrary.org/obo/UBERON_0001052	rectosigmoid adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001966	HT-29	http://www.ebi.ac.uk/efo/EFO_0001193	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	HT-29	http://www.ebi.ac.uk/efo/EFO_0001193	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.IGROV1_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	Ovarian Endometrioid Adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000416	IGROV-1	http://www.ebi.ac.uk/efo/EFO_0005385	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	IGROV-1	http://www.ebi.ac.uk/efo/EFO_0005385	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.K562_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood	http://purl.obolibrary.org/obo/UBERON_0000178	chronic myelogenous leukemia	http://www.ebi.ac.uk/efo/EFO_0000339	K562	http://www.ebi.ac.uk/efo/EFO_0002067	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	K562	http://www.ebi.ac.uk/efo/EFO_0002067	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.KM12_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colonic mucosa	http://purl.obolibrary.org/obo/UBERON_0000317	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	KM12	http://www.ebi.ac.uk/efo/EFO_0006282	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	KM12	http://www.ebi.ac.uk/efo/EFO_0006282	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.LOX.IMVI_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	lymph node	http://purl.obolibrary.org/obo/UBERON_0000029	amelanotic melanoma	http://www.ebi.ac.uk/efo/EFO_1001937	LOXIMVI	http://www.ebi.ac.uk/efo/EFO_0006284	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	LOXIMVI	http://www.ebi.ac.uk/efo/EFO_0006284	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.M14._1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	amelanotic melanoma	http://www.ebi.ac.uk/efo/EFO_1001937	M14	http://www.ebi.ac.uk/efo/EFO_0003056	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	M14	http://www.ebi.ac.uk/efo/EFO_0003056	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.M14._1_Gholami_deepProteome	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	amelanotic melanoma	http://www.ebi.ac.uk/efo/EFO_1001937	M14	http://www.ebi.ac.uk/efo/EFO_0003056	deep proteome		M14	http://www.ebi.ac.uk/efo/EFO_0003056	deep proteome		Yes
ppb.iBAQ.MALME.3M_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	lung	http://purl.obolibrary.org/obo/UBERON_0002048	metastatic melanoma	http://www.ebi.ac.uk/efo/EFO_0002617	Malme3M	http://www.ebi.ac.uk/efo/EFO_0002243	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Malme3M	http://www.ebi.ac.uk/efo/EFO_0002243	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.MCF.7.AdrR_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	fallopian tube	http://purl.obolibrary.org/obo/UBERON_0003889	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	MCF7AdrR		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	MCF7AdrR		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.MCF7_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	pleura	http://purl.obolibrary.org/obo/UBERON_0000977	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	MCF-7	http://www.ebi.ac.uk/efo/EFO_0001203	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	MCF-7	http://www.ebi.ac.uk/efo/EFO_0001203	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.MCF7_1_Gholami_deepProteome	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	pleura	http://purl.obolibrary.org/obo/UBERON_0000977	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	MCF-7	http://www.ebi.ac.uk/efo/EFO_0001203	deep proteome		MCF-7	http://www.ebi.ac.uk/efo/EFO_0001203	deep proteome		Yes
ppb.iBAQ.MDA.MB.435_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	MDAMB231	http://www.ebi.ac.uk/efo/EFO_0001209	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	MDAMB231	http://www.ebi.ac.uk/efo/EFO_0001209	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.MDAMB231_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	amelanotic melanoma	http://www.ebi.ac.uk/efo/EFO_1001937	MDAMB435	http://www.ebi.ac.uk/efo/EFO_0001213	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	MDAMB435	http://www.ebi.ac.uk/efo/EFO_0001213	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.MOLT4_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	lymphoid tissue	http://purl.obolibrary.org/obo/UBERON_0001744	adult T acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001936	MOLT-4	http://www.ebi.ac.uk/efo/EFO_0001220	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	MOLT-4	http://www.ebi.ac.uk/efo/EFO_0001220	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.OVCAR.3_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	fallopian tube	http://purl.obolibrary.org/obo/UBERON_0003889	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	OVCAR3	http://www.ebi.ac.uk/efo/EFO_0003061	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	OVCAR3	http://www.ebi.ac.uk/efo/EFO_0003061	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.OVCAR.4_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	fallopian tube	http://purl.obolibrary.org/obo/UBERON_0003889	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	OVCAR4	http://www.ebi.ac.uk/efo/EFO_0005442	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	OVCAR4	http://www.ebi.ac.uk/efo/EFO_0005442	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.OVCAR.5_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	fallopian tube	http://purl.obolibrary.org/obo/UBERON_0003889	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	OVCAR5	http://www.ebi.ac.uk/efo/EFO_0005443	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	OVCAR5	http://www.ebi.ac.uk/efo/EFO_0005443	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.OVCAR.8_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	fallopian tube	http://purl.obolibrary.org/obo/UBERON_0003889	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	OVCAR8	http://www.ebi.ac.uk/efo/EFO_0005444	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	OVCAR8	http://www.ebi.ac.uk/efo/EFO_0005444	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.PC3_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate gland	http://purl.obolibrary.org/obo/UBERON_0002367	prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	PC-3	http://www.ebi.ac.uk/efo/EFO_0002074	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	PC-3	http://www.ebi.ac.uk/efo/EFO_0002074	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.PC3_1_Gholami_deepProteome	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate gland	http://purl.obolibrary.org/obo/UBERON_0002367	prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	PC-3	http://www.ebi.ac.uk/efo/EFO_0002074	deep proteome		PC-3	http://www.ebi.ac.uk/efo/EFO_0002074	deep proteome		Yes
