Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[sex]	Sample Characteristic Ontology Term[sex]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[disease staging]	Sample Characteristic Ontology Term[disease staging]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Analysed
ppb.iBAQ.59M_1_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0002917	not available		59M	http://www.ebi.ac.uk/efo/EFO_0006358	59M	http://www.ebi.ac.uk/efo/EFO_0006358	Yes
ppb.iBAQ.59M_2_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0002917	not available		59M	http://www.ebi.ac.uk/efo/EFO_0006358	59M	http://www.ebi.ac.uk/efo/EFO_0006358	Yes
ppb.iBAQ.59M_3_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0002917	not available		59M	http://www.ebi.ac.uk/efo/EFO_0006358	59M	http://www.ebi.ac.uk/efo/EFO_0006358	Yes
ppb.iBAQ.A2780.CP70_1_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	Ovarian Endometrioid Adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000416	not available		A2780/CP70		A2780/CP70		Yes
ppb.iBAQ.A2780.CP70_2_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	Ovarian Endometrioid Adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000416	not available		A2780/CP70		A2780/CP70		Yes
ppb.iBAQ.A2780.CP70_3_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	Ovarian Endometrioid Adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000416	not available		A2780/CP70		A2780/CP70		Yes
ppb.iBAQ.A2780_1_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	Ovarian Endometrioid Adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000416	not available		A2780/CP70		A2780/CP70		Yes
ppb.iBAQ.A2780_2_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	Ovarian Endometrioid Adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000416	not available		A2780/CP70		A2780/CP70		Yes
ppb.iBAQ.A2780_3_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	Ovarian Endometrioid Adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000416	not available		A2780/CP70		A2780/CP70		Yes
ppb.iBAQ.COV318_1_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		COV318	http://www.ebi.ac.uk/efo/EFO_0006382	COV318	http://www.ebi.ac.uk/efo/EFO_0006382	Yes
ppb.iBAQ.COV318_2_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		COV318	http://www.ebi.ac.uk/efo/EFO_0006382	COV318	http://www.ebi.ac.uk/efo/EFO_0006382	Yes
ppb.iBAQ.COV318_3_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		COV318	http://www.ebi.ac.uk/efo/EFO_0006382	COV318	http://www.ebi.ac.uk/efo/EFO_0006382	Yes
ppb.iBAQ.Caov.3_1_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		CaOv3	http://www.ebi.ac.uk/efo/EFO_0002148	CaOv3	http://www.ebi.ac.uk/efo/EFO_0002148	Yes
