Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Factor Value[disease]	Factor Value Ontology Term[disease]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Analysed
guot_L130610_003_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CCRFCEM	http://www.ebi.ac.uk/efo/EFO_0002128	blood	http://purl.obolibrary.org/obo/UBERON_0000178	leukemia	http://www.ebi.ac.uk/efo/EFO_0000565	leukemia	http://www.ebi.ac.uk/efo/EFO_0000565	CCRFCEM	http://www.ebi.ac.uk/efo/EFO_0002128	Yes
guot_L130610_004_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	EKVX	http://www.ebi.ac.uk/efo/EFO_0006786	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung cancer	http://www.ebi.ac.uk/efo/EFO_0001071	lung cancer	http://www.ebi.ac.uk/efo/EFO_0001071	EKVX	http://www.ebi.ac.uk/efo/EFO_0006786	Yes
guot_L130610_005_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCT116	http://www.ebi.ac.uk/efo/EFO_0002824	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	HCT116	http://www.ebi.ac.uk/efo/EFO_0002824	Yes
guot_L130610_006_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	IGROV1	http://www.ebi.ac.uk/efo/EFO_0005385	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian cancer	http://www.ebi.ac.uk/efo/EFO_0001075	ovarian cancer	http://www.ebi.ac.uk/efo/EFO_0001075	IGROV1	http://www.ebi.ac.uk/efo/EFO_0005385	Yes
guot_L130611_007_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RXF393		kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal cancer	http://www.ebi.ac.uk/efo/EFO_0002890	renal cancer	http://www.ebi.ac.uk/efo/EFO_0002890	RXF393		Yes
guot_L130611_010_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CAKI1	http://www.ebi.ac.uk/efo/EFO_0002149	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal cancer	http://www.ebi.ac.uk/efo/EFO_0002890	renal cancer	http://www.ebi.ac.uk/efo/EFO_0002890	CAKI1	http://www.ebi.ac.uk/efo/EFO_0002149	Yes
guot_L130611_011_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KM12	http://www.ebi.ac.uk/efo/EFO_0006282	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	KM12	http://www.ebi.ac.uk/efo/EFO_0006282	Yes
guot_L130611_012_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SF539	http://www.ebi.ac.uk/efo/EFO_0005453	cell culture	http://purl.obolibrary.org/obo/BTO_0000214	central nervous system cancer	http://www.ebi.ac.uk/efo/EFO_0000326	central nervous system cancer	http://www.ebi.ac.uk/efo/EFO_0000326	SF539	http://www.ebi.ac.uk/efo/EFO_0005453	Yes
guot_L130611_013_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SKMEL2		skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	SKMEL2		Yes
guot_L130611_014_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SKOV3	http://www.ebi.ac.uk/efo/EFO_0002340	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian cancer	http://www.ebi.ac.uk/efo/EFO_0001075	ovarian cancer	http://www.ebi.ac.uk/efo/EFO_0001075	SKOV3	http://www.ebi.ac.uk/efo/EFO_0002340	Yes
guot_L130612_002_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SN12C		kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal cancer	http://www.ebi.ac.uk/efo/EFO_0002890	renal cancer	http://www.ebi.ac.uk/efo/EFO_0002890	SN12C		Yes
guot_L130612_003_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HT29	http://www.ebi.ac.uk/efo/EFO_0001193	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	HT29	http://www.ebi.ac.uk/efo/EFO_0001193	Yes
guot_L130612_004_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	K562	http://www.ebi.ac.uk/efo/EFO_0002067	bone marrow	http://purl.obolibrary.org/obo/UBERON_0002371	leukemia	http://www.ebi.ac.uk/efo/EFO_0000565	leukemia	http://www.ebi.ac.uk/efo/EFO_0000565	K562	http://www.ebi.ac.uk/efo/EFO_0002067	Yes
guot_L130612_005_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MDAMB231	http://www.ebi.ac.uk/efo/EFO_0001209	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast cancer	http://www.ebi.ac.uk/efo/EFO_0000305	breast cancer	http://www.ebi.ac.uk/efo/EFO_0000305	MDAMB231	http://www.ebi.ac.uk/efo/EFO_0001209	Yes
guot_L130612_006_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SKMEL5	http://www.ebi.ac.uk/efo/EFO_0005720	skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	SKMEL5	http://www.ebi.ac.uk/efo/EFO_0005720	Yes
guot_L130613_002_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HL60	http://www.ebi.ac.uk/efo/EFO_0002793	blood	http://purl.obolibrary.org/obo/UBERON_0000178	leukemia	http://www.ebi.ac.uk/efo/EFO_0000565	leukemia	http://www.ebi.ac.uk/efo/EFO_0000565	HL60	http://www.ebi.ac.uk/efo/EFO_0002793	Yes
guot_L130613_003_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast cancer	http://www.ebi.ac.uk/efo/EFO_0000305	breast cancer	http://www.ebi.ac.uk/efo/EFO_0000305	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	Yes
guot_L130613_004_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SF295	http://www.ebi.ac.uk/efo/EFO_0005452	cell culture	http://purl.obolibrary.org/obo/BTO_0000214	central nervous system cancer	http://www.ebi.ac.uk/efo/EFO_0000326	central nervous system cancer	http://www.ebi.ac.uk/efo/EFO_0000326	SF295	http://www.ebi.ac.uk/efo/EFO_0005452	Yes
guot_L130613_005_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SKMEL28		skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	SKMEL28		Yes
guot_L130613_006_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SW620	http://www.ebi.ac.uk/efo/EFO_0002368	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	SW620	http://www.ebi.ac.uk/efo/EFO_0002368	Yes
guot_L130614_002_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	A498	http://www.ebi.ac.uk/efo/EFO_0002105	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal cancer	http://www.ebi.ac.uk/efo/EFO_0002890	renal cancer	http://www.ebi.ac.uk/efo/EFO_0002890	A498	http://www.ebi.ac.uk/efo/EFO_0002105	Yes
guot_L130614_003_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	H322M		lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung cancer	http://www.ebi.ac.uk/efo/EFO_0001071	lung cancer	http://www.ebi.ac.uk/efo/EFO_0001071	H322M		Yes
guot_L130614_004_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OVCAR8	http://www.ebi.ac.uk/efo/EFO_0005444	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian cancer	http://www.ebi.ac.uk/efo/EFO_0001075	ovarian cancer	http://www.ebi.ac.uk/efo/EFO_0001075	OVCAR8	http://www.ebi.ac.uk/efo/EFO_0005444	Yes
guot_L130614_005_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SNB19	http://www.ebi.ac.uk/efo/EFO_0002342	brain	http://purl.obolibrary.org/obo/UBERON_0000955	central nervous system cancer	http://www.ebi.ac.uk/efo/EFO_0000326	central nervous system cancer	http://www.ebi.ac.uk/efo/EFO_0000326	SNB19	http://www.ebi.ac.uk/efo/EFO_0002342	Yes
guot_L130614_006_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	UACC62		::		melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	UACC62		Yes
guot_L130615_002_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ACHN	http://www.ebi.ac.uk/efo/EFO_0002108	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal cancer	http://www.ebi.ac.uk/efo/EFO_0002890	renal cancer	http://www.ebi.ac.uk/efo/EFO_0002890	ACHN	http://www.ebi.ac.uk/efo/EFO_0002108	Yes
guot_L130615_003_SW	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MALME3M	http://www.ebi.ac.uk/efo/EFO_0002243			melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	MALME3M	http://www.ebi.ac.uk/efo/EFO_0002243	Yes
