source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	characteristics[individual]	characteristics[enrichment process]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[disease]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]
PDC000296-Sample-1	human + mouse	not available	not available	not available	not available	not available	tumor	1	NCI-7	not available	cell lines	run1	proteomic profiling by mass spectrometry	01_CPTAC_NCI7_W_JHUZ_20161111_QEHF.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/120/01_CPTAC_NCI7_W_JHUZ_20161111_QEHF.raw?Expires=1685688607&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=e2eKcX61DKJs-NZwY~NhdC-DmL9OA4OWShknY0vCZgXagvLusPXDerXhkbIEkxSFRZG8jrpwOto5iD1lN5SJEOnq53hs~of4sC7N8DrwbpqGTLpPnYBDgv1dUgbWmbn3UaWb9hrXgx8Ax-DUt-G5WyHtRO0DOf4-vp7zYpL1rgQxX4UvL~gU5uCAXLaGfLfuASieQocMxoeuUqyQPydRYUK83hz1QRJxQ4~IQvJgbs1cgTjHq1IOveXBAUDGSJEOvXNYdfDXlDL3c6W7RVNPtQpT3Ak56CLg6biNwIVrTxrt8CmFI82v1lZrm14hmxJH3n~z7LtLIBLz0JThmik~xQ__	1	1	tmt_126	NT=Q Exactive HF;AC=MS:1002523	NT=HCD;AC=PRIDE:0000590	32% NCE	20 ppm	0.06 Da	NCI-7	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000296-Sample-2	human + mouse	not available	not available	not available	not available	not available	tumor	1	NCI-7	not available	cell lines	run1	proteomic profiling by mass spectrometry	01_CPTAC_NCI7_W_JHUZ_20161111_QEHF.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/120/01_CPTAC_NCI7_W_JHUZ_20161111_QEHF.raw?Expires=1685688607&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=e2eKcX61DKJs-NZwY~NhdC-DmL9OA4OWShknY0vCZgXagvLusPXDerXhkbIEkxSFRZG8jrpwOto5iD1lN5SJEOnq53hs~of4sC7N8DrwbpqGTLpPnYBDgv1dUgbWmbn3UaWb9hrXgx8Ax-DUt-G5WyHtRO0DOf4-vp7zYpL1rgQxX4UvL~gU5uCAXLaGfLfuASieQocMxoeuUqyQPydRYUK83hz1QRJxQ4~IQvJgbs1cgTjHq1IOveXBAUDGSJEOvXNYdfDXlDL3c6W7RVNPtQpT3Ak56CLg6biNwIVrTxrt8CmFI82v1lZrm14hmxJH3n~z7LtLIBLz0JThmik~xQ__	1	1	tmt_127n	NT=Q Exactive HF;AC=MS:1002523	NT=HCD;AC=PRIDE:0000590	32% NCE	20 ppm	0.06 Da	NCI-7	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000296-Sample-3	human + mouse	not available	not available	not available	not available	not available	tumor	1	NCI-7	not available	cell lines	run1	proteomic profiling by mass spectrometry	01_CPTAC_NCI7_W_JHUZ_20161111_QEHF.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/120/01_CPTAC_NCI7_W_JHUZ_20161111_QEHF.raw?Expires=1685688607&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=e2eKcX61DKJs-NZwY~NhdC-DmL9OA4OWShknY0vCZgXagvLusPXDerXhkbIEkxSFRZG8jrpwOto5iD1lN5SJEOnq53hs~of4sC7N8DrwbpqGTLpPnYBDgv1dUgbWmbn3UaWb9hrXgx8Ax-DUt-G5WyHtRO0DOf4-vp7zYpL1rgQxX4UvL~gU5uCAXLaGfLfuASieQocMxoeuUqyQPydRYUK83hz1QRJxQ4~IQvJgbs1cgTjHq1IOveXBAUDGSJEOvXNYdfDXlDL3c6W7RVNPtQpT3Ak56CLg6biNwIVrTxrt8CmFI82v1lZrm14hmxJH3n~z7LtLIBLz0JThmik~xQ__	1	1	tmt_127c	NT=Q Exactive HF;AC=MS:1002523	NT=HCD;AC=PRIDE:0000590	32% NCE	20 ppm	0.06 Da	NCI-7	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000296-Sample-4	human + mouse	not available	not available	not available	not available	not available	tumor	1	NCI-7	not available	cell lines	run1	proteomic profiling by mass spectrometry	01_CPTAC_NCI7_W_JHUZ_20161111_QEHF.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/120/01_CPTAC_NCI7_W_JHUZ_20161111_QEHF.raw?Expires=1685688607&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=e2eKcX61DKJs-NZwY~NhdC-DmL9OA4OWShknY0vCZgXagvLusPXDerXhkbIEkxSFRZG8jrpwOto5iD1lN5SJEOnq53hs~of4sC7N8DrwbpqGTLpPnYBDgv1dUgbWmbn3UaWb9hrXgx8Ax-DUt-G5WyHtRO0DOf4-vp7zYpL1rgQxX4UvL~gU5uCAXLaGfLfuASieQocMxoeuUqyQPydRYUK83hz1QRJxQ4~IQvJgbs1cgTjHq1IOveXBAUDGSJEOvXNYdfDXlDL3c6W7RVNPtQpT3Ak56CLg6biNwIVrTxrt8CmFI82v1lZrm14hmxJH3n~z7LtLIBLz0JThmik~xQ__	1	1	tmt_128n	NT=Q Exactive HF;AC=MS:1002523	NT=HCD;AC=PRIDE:0000590	32% NCE	20 ppm	0.06 Da	NCI-7	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000296-Sample-5	human + mouse	not available	not available	not available	not available	not available	tumor	1	NCI-7	not available	cell lines	run1	proteomic profiling by mass spectrometry	01_CPTAC_NCI7_W_JHUZ_20161111_QEHF.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/120/01_CPTAC_NCI7_W_JHUZ_20161111_QEHF.raw?Expires=1685688607&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=e2eKcX61DKJs-NZwY~NhdC-DmL9OA4OWShknY0vCZgXagvLusPXDerXhkbIEkxSFRZG8jrpwOto5iD1lN5SJEOnq53hs~of4sC7N8DrwbpqGTLpPnYBDgv1dUgbWmbn3UaWb9hrXgx8Ax-DUt-G5WyHtRO0DOf4-vp7zYpL1rgQxX4UvL~gU5uCAXLaGfLfuASieQocMxoeuUqyQPydRYUK83hz1QRJxQ4~IQvJgbs1cgTjHq1IOveXBAUDGSJEOvXNYdfDXlDL3c6W7RVNPtQpT3Ak56CLg6biNwIVrTxrt8CmFI82v1lZrm14hmxJH3n~z7LtLIBLz0JThmik~xQ__	1	1	tmt_128c	NT=Q Exactive HF;AC=MS:1002523	NT=HCD;AC=PRIDE:0000590	32% NCE	20 ppm	0.06 Da	NCI-7	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000296-Sample-6	human + mouse	not available	not available	not available	not available	not available	tumor	1	NCI-7	not available	cell lines	run1	proteomic profiling by mass spectrometry	01_CPTAC_NCI7_W_JHUZ_20161111_QEHF.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/120/01_CPTAC_NCI7_W_JHUZ_20161111_QEHF.raw?Expires=1685688607&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=e2eKcX61DKJs-NZwY~NhdC-DmL9OA4OWShknY0vCZgXagvLusPXDerXhkbIEkxSFRZG8jrpwOto5iD1lN5SJEOnq53hs~of4sC7N8DrwbpqGTLpPnYBDgv1dUgbWmbn3UaWb9hrXgx8Ax-DUt-G5WyHtRO0DOf4-vp7zYpL1rgQxX4UvL~gU5uCAXLaGfLfuASieQocMxoeuUqyQPydRYUK83hz1QRJxQ4~IQvJgbs1cgTjHq1IOveXBAUDGSJEOvXNYdfDXlDL3c6W7RVNPtQpT3Ak56CLg6biNwIVrTxrt8CmFI82v1lZrm14hmxJH3n~z7LtLIBLz0JThmik~xQ__	1	1	tmt_129n	NT=Q Exactive HF;AC=MS:1002523	NT=HCD;AC=PRIDE:0000590	32% NCE	20 ppm	0.06 Da	NCI-7	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000296-Sample-7	human + mouse	not available	not available	not available	not available	not available	tumor	1	NCI-7	not available	cell lines	run1	proteomic profiling by mass spectrometry	01_CPTAC_NCI7_W_JHUZ_20161111_QEHF.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/120/01_CPTAC_NCI7_W_JHUZ_20161111_QEHF.raw?Expires=1685688607&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=e2eKcX61DKJs-NZwY~NhdC-DmL9OA4OWShknY0vCZgXagvLusPXDerXhkbIEkxSFRZG8jrpwOto5iD1lN5SJEOnq53hs~of4sC7N8DrwbpqGTLpPnYBDgv1dUgbWmbn3UaWb9hrXgx8Ax-DUt-G5WyHtRO0DOf4-vp7zYpL1rgQxX4UvL~gU5uCAXLaGfLfuASieQocMxoeuUqyQPydRYUK83hz1QRJxQ4~IQvJgbs1cgTjHq1IOveXBAUDGSJEOvXNYdfDXlDL3c6W7RVNPtQpT3Ak56CLg6biNwIVrTxrt8CmFI82v1lZrm14hmxJH3n~z7LtLIBLz0JThmik~xQ__	1	1	tmt_129c	NT=Q Exactive HF;AC=MS:1002523	NT=HCD;AC=PRIDE:0000590	32% NCE	20 ppm	0.06 Da	NCI-7	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000296-Sample-8	human + mouse	not available	not available	not available	not available	not available	tumor	1	NCI-7	not available	cell lines	run1	proteomic profiling by mass spectrometry	01_CPTAC_NCI7_W_JHUZ_20161111_QEHF.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/120/01_CPTAC_NCI7_W_JHUZ_20161111_QEHF.raw?Expires=1685688607&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=e2eKcX61DKJs-NZwY~NhdC-DmL9OA4OWShknY0vCZgXagvLusPXDerXhkbIEkxSFRZG8jrpwOto5iD1lN5SJEOnq53hs~of4sC7N8DrwbpqGTLpPnYBDgv1dUgbWmbn3UaWb9hrXgx8Ax-DUt-G5WyHtRO0DOf4-vp7zYpL1rgQxX4UvL~gU5uCAXLaGfLfuASieQocMxoeuUqyQPydRYUK83hz1QRJxQ4~IQvJgbs1cgTjHq1IOveXBAUDGSJEOvXNYdfDXlDL3c6W7RVNPtQpT3Ak56CLg6biNwIVrTxrt8CmFI82v1lZrm14hmxJH3n~z7LtLIBLz0JThmik~xQ__	1	1	tmt_130n	NT=Q Exactive HF;AC=MS:1002523	NT=HCD;AC=PRIDE:0000590	32% NCE	20 ppm	0.06 Da	NCI-7	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000296-Sample-9	human + mouse	not available	not available	not available	not available	not available	tumor	1	NCI-7	not available	cell lines	run1	proteomic profiling by mass spectrometry	01_CPTAC_NCI7_W_JHUZ_20161111_QEHF.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/120/01_CPTAC_NCI7_W_JHUZ_20161111_QEHF.raw?Expires=1685688607&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=e2eKcX61DKJs-NZwY~NhdC-DmL9OA4OWShknY0vCZgXagvLusPXDerXhkbIEkxSFRZG8jrpwOto5iD1lN5SJEOnq53hs~of4sC7N8DrwbpqGTLpPnYBDgv1dUgbWmbn3UaWb9hrXgx8Ax-DUt-G5WyHtRO0DOf4-vp7zYpL1rgQxX4UvL~gU5uCAXLaGfLfuASieQocMxoeuUqyQPydRYUK83hz1QRJxQ4~IQvJgbs1cgTjHq1IOveXBAUDGSJEOvXNYdfDXlDL3c6W7RVNPtQpT3Ak56CLg6biNwIVrTxrt8CmFI82v1lZrm14hmxJH3n~z7LtLIBLz0JThmik~xQ__	1	1	tmt_130c	NT=Q Exactive HF;AC=MS:1002523	NT=HCD;AC=PRIDE:0000590	32% NCE	20 ppm	0.06 Da	NCI-7	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000296-Sample-10	human + mouse	not available	not available	not available	not available	not available	tumor	1	NCI-7	not available	cell lines	run1	proteomic profiling by mass spectrometry	01_CPTAC_NCI7_W_JHUZ_20161111_QEHF.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/120/01_CPTAC_NCI7_W_JHUZ_20161111_QEHF.raw?Expires=1685688607&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=e2eKcX61DKJs-NZwY~NhdC-DmL9OA4OWShknY0vCZgXagvLusPXDerXhkbIEkxSFRZG8jrpwOto5iD1lN5SJEOnq53hs~of4sC7N8DrwbpqGTLpPnYBDgv1dUgbWmbn3UaWb9hrXgx8Ax-DUt-G5WyHtRO0DOf4-vp7zYpL1rgQxX4UvL~gU5uCAXLaGfLfuASieQocMxoeuUqyQPydRYUK83hz1QRJxQ4~IQvJgbs1cgTjHq1IOveXBAUDGSJEOvXNYdfDXlDL3c6W7RVNPtQpT3Ak56CLg6biNwIVrTxrt8CmFI82v1lZrm14hmxJH3n~z7LtLIBLz0JThmik~xQ__	1	1	tmt_131	NT=Q Exactive HF;AC=MS:1002523	NT=HCD;AC=PRIDE:0000590	32% NCE	20 ppm	0.06 Da	NCI-7	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
